ID,internal_name,display_name,category,transport_class,transport_cost,transport_duration,transport_method,good_type,decay_rate,base_price,is_buyable,is_sellable,green_sales_premium,is_fossil_fuel,co2_tax_multiplier
g_001,coal,Coal,energy,solid_heavy,1,1,vehicle,raw,0.005,1,TRUE,TRUE,0,yes,0.2
g_002,iron_ore,Iron Ore,metals,solid_heavy,1,1,vehicle,raw,0.005,1,TRUE,TRUE,0,no,0
g_003,mined_salt,Mined Salt,chems,solid_heavy,1,1,vehicle,raw,0.005,0.5,TRUE,TRUE,0,no,0
g_004,copper_ore,Copper Ore,metals,solid_heavy,1,1,vehicle,raw,0.005,1,TRUE,TRUE,0,no,0
g_005,tin_ore,Tin Ore,metals,solid_heavy,1,1,vehicle,raw,0.005,1,TRUE,TRUE,0,no,0
g_006,bauxite_ore,Bauxite Ore,metals,solid_heavy,1,1,vehicle,raw,0.005,1.5,TRUE,TRUE,0,no,0
g_007,lithium_ore,Lithium Ore,metals,solid_heavy,1,1,vehicle,raw,0.005,2,TRUE,TRUE,0,no,0
g_008,ree_ore,Rare Earth Ore,metals,solid_heavy,1,1,vehicle,raw,0.005,2,TRUE,TRUE,0,no,0
g_009,crude_oil,Crude Oil,energy,liquid,2,1,pipe,raw,0.005,1.5,TRUE,TRUE,0,yes,0.1
g_010,biomass,Biomass,agribio,solid_heavy,1,1,vehicle,raw,0.005,0.5,TRUE,TRUE,0,no,0
g_011,sea water,Sea Water,water,liquid,1,1,pipe,raw,0.005,0.1,FALSE,FALSE,0,no,0
g_012,pure water,Pure Water,water,liquid,1,1,pipe,raw,0.005,0.5,TRUE,TRUE,0,no,0
g_013,sand,Sand,construction,solid_heavy,1,1,vehicle,raw,0.005,0.1,TRUE,TRUE,0,no,0
g_014,limestone,Limestone,construction,solid_heavy,1,1,vehicle,raw,0.005,0.1,TRUE,TRUE,0,no,0
g_015,table_salt,Table Salt,chems,solid_heavy,1,1,vehicle,mixed,0.001,0.5,TRUE,TRUE,0,no,0
g_016,chem_salt,Chemicalt Salt,chems,solid_heavy,1,1,vehicle,intermediate,0.002,1,TRUE,TRUE,0,no,0
g_017,chlorine,Chlorine,chems,liquid,3,1,pipe,intermediate,0.002,6,TRUE,TRUE,0,no,0
g_018,pvc,PVC,construction,solid_light,1,1,vehicle,intermediate,0.002,8,TRUE,TRUE,0,no,0
g_019,steel,Steel,metals,solid_heavy,1,1,vehicle,intermediate,0.002,4,TRUE,TRUE,0.2,no,0
g_020,hydrogen,Hydrogen,chems,liquid,3,1,pipe,intermediate,0.002,1.5,TRUE,TRUE,0.2,no,0
g_021,oxygen,Oxygen,chems,liquid,2,1,pipe,intermediate,0.002,3,TRUE,TRUE,0,no,0
g_022,processed_oil,Processed Oil,chems,liquid,1,1,pipe,intermediate,0.002,2.5,TRUE,TRUE,0,no,0
g_023,petroleum_needle_coke,Petroleum Needle Coke,chems,solid_heavy,1,1,vehicle,intermediate,0.002,3.5,TRUE,TRUE,0,no,0
g_024,ethylene,Ethylene,chems,gas,2,1,pipe,intermediate,0.002,3.5,TRUE,TRUE,0,no,0
g_025,ammonia,Ammonia,chems,liquid,2,1,pipe,intermediate,0.002,4,TRUE,TRUE,0,no,0
g_026,fertilisers,Fertilisers,agribio,solid_heavy,1,1,vehicle,intermediate,0.002,3,TRUE,TRUE,0,no,0
g_027,ev_waste,EV Battery Waste,waste,ultra_heavy,2,1,vehicle,waste,0,0.5,FALSE,FALSE,0,no,0
g_028,iron_ingots,Iron Ingots,metals,solid_heavy,1,1,vehicle,intermediate,0.002,1.5,TRUE,TRUE,0,no,0
