river_type,kind,entry_hsm,entry_square_point,center_point,exit_square_point,exit_hsm,exit_square_point_2,exit_hsm_2,lake_point,lake_width,lake_height
river_single_001,single,HSM1,S1,C0,S2,HSM2,"","","","",""
river_single_002,single,HSM1,S1,C0,S2,HSM3,"","","","",""
river_single_003,single,HSM1,S1,C0,S2,HSM4,"","","","",""
river_single_004,single,HSM1,S1,C0,S2,HSM5,"","","","",""
river_single_005,single,HSM1,S1,C0,S2,HSM6,"","","","",""
river_single_006,single,HSM1,S1,C0,S3,HSM2,"","","","",""
river_single_007,single,HSM1,S1,C0,S3,HSM3,"","","","",""
river_single_008,single,HSM1,S1,C0,S3,HSM4,"","","","",""
river_single_009,single,HSM1,S1,C0,S3,HSM5,"","","","",""
river_single_010,single,HSM1,S1,C0,S3,HSM6,"","","","",""
river_single_013,single,HSM1,S1,C0,S4,HSM4,"","","","",""
river_single_014,single,HSM1,S1,C0,S4,HSM5,"","","","",""
river_single_015,single,HSM1,S1,C0,S4,HSM6,"","","","",""
river_single_023,single,HSM1,S2,C0,S3,HSM4,"","","","",""
river_single_024,single,HSM1,S2,C0,S3,HSM5,"","","","",""
river_single_025,single,HSM1,S2,C0,S3,HSM6,"","","","",""
river_single_028,single,HSM1,S2,C0,S4,HSM4,"","","","",""
river_single_029,single,HSM1,S2,C0,S4,HSM5,"","","","",""
river_single_030,single,HSM1,S2,C0,S4,HSM6,"","","","",""
river_single_031,single,HSM1,S3,C0,S1,HSM2,"","","","",""
river_single_032,single,HSM1,S3,C0,S1,HSM3,"","","","",""
river_single_033,single,HSM1,S3,C0,S1,HSM4,"","","","",""
river_single_036,single,HSM1,S3,C0,S2,HSM2,"","","","",""
river_single_037,single,HSM1,S3,C0,S2,HSM3,"","","","",""
river_single_038,single,HSM1,S3,C0,S2,HSM4,"","","","",""
river_single_046,single,HSM1,S4,C0,S1,HSM2,"","","","",""
river_single_047,single,HSM1,S4,C0,S1,HSM3,"","","","",""
river_single_048,single,HSM1,S4,C0,S1,HSM4,"","","","",""
river_single_051,single,HSM1,S4,C0,S2,HSM2,"","","","",""
river_single_052,single,HSM1,S4,C0,S2,HSM3,"","","","",""
river_single_053,single,HSM1,S4,C0,S2,HSM4,"","","","",""
river_single_054,single,HSM1,S4,C0,S2,HSM5,"","","","",""
river_single_055,single,HSM1,S4,C0,S2,HSM6,"","","","",""
river_single_056,single,HSM1,S4,C0,S3,HSM2,"","","","",""
river_single_057,single,HSM1,S4,C0,S3,HSM3,"","","","",""
river_single_058,single,HSM1,S4,C0,S3,HSM4,"","","","",""
river_single_059,single,HSM1,S4,C0,S3,HSM5,"","","","",""
river_single_060,single,HSM1,S4,C0,S3,HSM6,"","","","",""
river_single_062,single,HSM2,S1,C0,S2,HSM3,"","","","",""
river_single_063,single,HSM2,S1,C0,S2,HSM4,"","","","",""
river_single_064,single,HSM2,S1,C0,S2,HSM5,"","","","",""
river_single_065,single,HSM2,S1,C0,S2,HSM6,"","","","",""
river_single_066,single,HSM2,S1,C0,S3,HSM1,"","","","",""
river_single_067,single,HSM2,S1,C0,S3,HSM3,"","","","",""
river_single_068,single,HSM2,S1,C0,S3,HSM4,"","","","",""
river_single_069,single,HSM2,S1,C0,S3,HSM5,"","","","",""
river_single_070,single,HSM2,S1,C0,S3,HSM6,"","","","",""
river_single_071,single,HSM2,S1,C0,S4,HSM1,"","","","",""
river_single_073,single,HSM2,S1,C0,S4,HSM4,"","","","",""
river_single_074,single,HSM2,S1,C0,S4,HSM5,"","","","",""
river_single_075,single,HSM2,S1,C0,S4,HSM6,"","","","",""
river_single_076,single,HSM2,S2,C0,S1,HSM1,"","","","",""
river_single_079,single,HSM2,S2,C0,S1,HSM5,"","","","",""
river_single_080,single,HSM2,S2,C0,S1,HSM6,"","","","",""
river_single_081,single,HSM2,S2,C0,S3,HSM1,"","","","",""
river_single_083,single,HSM2,S2,C0,S3,HSM4,"","","","",""
river_single_084,single,HSM2,S2,C0,S3,HSM5,"","","","",""
river_single_085,single,HSM2,S2,C0,S3,HSM6,"","","","",""
river_single_086,single,HSM2,S2,C0,S4,HSM1,"","","","",""
river_single_088,single,HSM2,S2,C0,S4,HSM4,"","","","",""
river_single_089,single,HSM2,S2,C0,S4,HSM5,"","","","",""
river_single_090,single,HSM2,S2,C0,S4,HSM6,"","","","",""
river_single_091,single,HSM2,S3,C0,S1,HSM1,"","","","",""
