path,class,rect_x,rect_y,rect_w,rect_h,drawn_x,drawn_y,drawn_w,drawn_h
MarginContainer/HBoxContainer/MoneyWidget/@HBoxContainer@1375/@Control@1376,Control,25.0,30.0,16.0,16.0,26.5,31.5,13.0,13.0
MarginContainer/HBoxContainer/MoneyWidget/@HBoxContainer@1375/@Control@1381/@TextureRect@1379,TextureRect,51.0,20.0,44.0,44.0,51.0,20.0,44.0,44.0
MarginContainer/HBoxContainer/PowerModule/@HBoxContainer@1387/@Control@1388,Control,230.0,30.0,16.0,16.0,225.0,25.0,26.0,26.0
MarginContainer/HBoxContainer/PowerModule/@HBoxContainer@1387/@Control@1393/@TextureRect@1391,TextureRect,255.0,18.0,44.0,44.0,265.5,18.0,22.5,44.0
MarginContainer/HBoxContainer/VictoryModule/@HBoxContainer@1397/@Control@1398,Control,329.0,30.0,16.0,16.0,330.5,31.5,13.0,13.0
MarginContainer/HBoxContainer/VictoryModule/@HBoxContainer@1397/@Control@1403/@TextureRect@1401,TextureRect,354.0,18.0,44.0,44.0,357.0,19.0,39.0,43.0
MarginContainer/HBoxContainer/TransportModule/@HBoxContainer@1409/@HBoxContainer@1428/@Control@1411/@Control@1410,Control,493.0,32.0,16.0,16.0,494.5,33.5,13.0,13.0
MarginContainer/HBoxContainer/TransportModule/@HBoxContainer@1409/@HBoxContainer@1428/@Control@1415/@TextureRect@1413,TextureRect,513.0,18.0,44.0,44.0,513.0,23.0,44.0,33.5
MarginContainer/HBoxContainer/TransportModule/@HBoxContainer@1409/@HBoxContainer@1429/@Control@1417/@Control@1416,Control,573.0,32.0,16.0,16.0,574.5,33.5,13.0,13.0
MarginContainer/HBoxContainer/TransportModule/@HBoxContainer@1409/@HBoxContainer@1429/@Control@1421/@TextureRect@1419,TextureRect,593.0,18.0,44.0,44.0,593.0,21.5,44.0,37.0
MarginContainer/HBoxContainer/TransportModule/@HBoxContainer@1409/@HBoxContainer@1430/@Control@1423/@Control@1422,Control,653.0,32.0,16.0,16.0,654.5,33.5,13.0,13.0
MarginContainer/HBoxContainer/TransportModule/@HBoxContainer@1409/@HBoxContainer@1430/@Control@1427/@TextureRect@1425,TextureRect,673.0,18.0,44.0,44.0,673.5,18.0,43.0,44.0
MarginContainer/HBoxContainer/CouncilModule/@HBoxContainer@1469/@Control@1474/@TextureRect@1472,TextureRect,1500.0,18.0,44.0,44.0,1501.0,19.5,43.0,42.5
MarginContainer/HBoxContainer/GoodsGraphModule/@HBoxContainer@1479/@Control@1486/@TextureRect@1484,TextureRect,1574.0,6.0,56.0,56.0,1578.0,11.0,46.5,44.5
MarginContainer/HBoxContainer/EncyclopediaButton/@HBoxContainer@1490/@Control@1494/@TextureRect@1492,TextureRect,1664.0,20.0,44.0,44.0,1664.0,24.5,44.0,34.0
MarginContainer/HBoxContainer/MenuModule/@HBoxContainer@1498/@Control@1502/@TextureRect@1500,TextureRect,1854.0,18.0,44.0,44.0,1854.0,25.0,44.0,30.0
BriefingModule/@HBoxContainer@1440/@Control@1443,Control,946.0,34.0,28.0,28.0,0.0,0.0,0.0,0.0
BriefingModule/@HBoxContainer@1459/@Control@1452/@Control@1448/@TextureRect@1449,TextureRect,903.0,23.0,52.5,52.5,906.5,23.0,45.0,52.0
BriefingModule/@HBoxContainer@1459/@Control@1458/@Control@1454/@TextureRect@1455,TextureRect,965.0,23.0,52.5,52.5,968.5,23.0,45.0,52.0
