ID,internal_name,display_name,energy_cost,building_stockpile,base_price,build_cost_money,build_material_1,build_qty_1,build_material_2,build_qty_2,build_material_3,build_qty_3,build_material_4,build_qty_4,build_material_5,build_qty_5,build_duration,tile_size_used,building_category,upgrade_path,upgrade_cost,upgrade_material_1,upgrade_qty_1,upgrade_material_2,upgrade_qty_2,maintenance_cost,labour_unskilled_required,labour_skilled_required,labour_h_skilled_required,building_type,storage_boost,build_material_6,build_qty_6,build_material_7,build_qty_7,required_research
b_001,mine,Mine,1,10000,30,30,construction_equipment_ice,1,concrete,3,rubber,4,plastics,4,,,2,30,production,standard,10000,,,,,4,2580,390,20,extraction,0,,,,,
b_002,furnace,Furnace,1,10000,20,20,concrete,3,building_frame,2,construction_equipment_ice,1,rubber,2,plastics,2,2,20,production,standard,10000,,,,,2,880,330,33,metallurgy,0,,,,,
b_003,power_plant,Power plant,0,0,15,15,steel,4,concrete,4,construction_equipment_ice,1,rubber,4,plastics,4,2,15,power,standard,10000,,,,,4,31,180,94,power,0,,,,,
b_004,port,Port,1,10000,10000,10000,,,,,,,,,,,2,15,infrastructure,standard,10000,,,,,20,0,0,0,infrastructure,600,,,,,
b_005,roads,Roads,0,0,25,25,,,,,,,,,,,1,2,infrastructure,standard,10000,,,,,2,0,0,0,infrastructure,0,,,,,
b_006,cables,Cables,0,0,20,20,copper_wiring,5,electrical_components,2,,,,,,,1,2,infrastructure,standard,10000,,,,,2,0,0,0,infrastructure,0,,,,,
b_007,industrial_factory,Industrial Goods Factory,10,10000,10,10,concrete,3,building_frame,3,construction_equipment_ice,1,rubber,4,plastics,4,2,10,production,standard,10000,,,,,14,5472,2052,207,manufacturing,0,,,,,
b_008,eaf,Electric Arc Furnace,1,10000,10,10,concrete,2,building_frame,2,construction_equipment_ice,1,electrical_components,2,rubber,4,2,10,production,standard,10000,,,,,4,1660,630,62,metallurgy,0,plastics,4,,,
b_009,assembly_plant,Assembly Plant,1,10000,10,10,concrete,4,building_frame,4,construction_equipment_ice,2,computer,4,electrical_components,5,2,10,production,standard,10000,,,,,26,4510,4010,1350,manufacturing,0,rubber,9,plastics,9,
b_010,high_tech_manufactory,High Tech Manufactory,1,10000,10,10,concrete,4,building_frame,4,construction_equipment_ice,3,computer,6,electrical_components,8,2,10,production,standard,10000,,,,,18,3250,2890,970,manufacturing,0,rubber,9,plastics,9,
b_011,petro_refinery,Petrochemical Refinery,1,10000,10,10,concrete,3,building_frame,2,chem_salts,6,construction_equipment_ice,1,rubber,9,2,10,production,standard,10000,,,,,2,1080,410,41,refinery,0,plastics,9,,,
b_012,chem_plant,Chemical Plant,1,10000,18,18,concrete,4,building_frame,3,chem_salts,8,industrial_acids,4,construction_equipment_ice,2,2,18,production,standard,10000,,,,,8,3440,1290,130,electrochemistry|refinery,0,rubber,9,plastics,9,
b_013,poly_plant,Polymerisation Refinery,1,10000,10,10,concrete,3,building_frame,2,chem_salts,6,construction_equipment_ice,1,rubber,9,2,10,production,standard,10000,,,,,2,790,470,94,refinery,0,plastics,9,,,
b_014,farm,Farm,1,10000,15,15,steel,2,concrete,3,biomass,8,,,,,2,15,production,standard,10000,,,,,2,1380,210,11,farm_forests,0,,,,,
b_015,new_forest,New Growth Forest,1,10000,10,10,biomass,8,,,,,,,,,2,10,production,standard,10000,,,,,6,4140,640,31,farm_forests,0,,,,,
b_016,old_forest,Old Growth Forest,1,10000,25,25,biomass,8,,,,,,,,,2,25,production,standard,10000,,,,,2,120,63,31,farm_forests,0,,,,,
b_017,pipes,Pipeworks,1,10000,30,30,,,,,,,,,,,1,1,infrastructure,standard,10000,,,,,4,0,0,0,infrastructure,0,,,,,
b_018,reinf_pipes,Reinforced Pipeworks,1,10000,50,50,,,,,,,,,,,1,1,infrastructure,standard,10000,,,,,4,0,0,0,infrastructure,0,,,,,
b_019,rails,Railways,1,10000,70,70,,,,,,,,,,,1,1,infrastructure,standard,10000,,,,,4,0,0,0,infrastructure,0,,,,,
b_020,electrolyser,Electrolyser,1,10000,10,10,concrete,3,building_frame,2,construction_equipment_ice,1,electrical_components,2,rubber,11,2,10,production,standard,10000,,,,,2,1120,420,42,electrochemistry,0,plastics,11,,,
b_021,desal,Desalination Plant,1,10000,10,10,concrete,3,building_frame,2,construction_equipment_ice,1,rubber,11,plastics,11,2,10,production,standard,10000,,,,,2,2330,360,17,water,0,,,,,
b_022,water_recycling,Water Recyling Plant,1,10000,10,10,concrete,3,building_frame,1,construction_equipment_ice,1,rubber,2,plastics,2,2,10,production,standard,10000,,,,,2,1640,250,12,water,0,,,,,
b_023,landfill,Landfill,1,10000,1,1,,,,,,,,,,,2,10,production,standard,10000,,,,,4,62,31,9,infrastructure,0,,,,,
b_024,solar_farm,Solar Farm,1,10000,10,10,concrete,2,electrical_components,4,construction_equipment_ice,1,rubber,4,plastics,4,2,10,power,standard,10000,,,,,4,31,63,47,power,0,,,,,
b_025,onshore_wind_farm,Onshore Wind Farm,1,10000,10,10,steel,4,concrete,2,construction_equipment_ice,1,rubber,4,plastics,4,2,10,power,standard,10000,,,,,4,31,63,47,power,0,,,,,
b_026,offshore_wind_farm,Offshore Wind Farm,1,10000,10,10,steel,6,concrete,3,construction_equipment_ice,2,rubber,4,plastics,4,2,10,power,standard,10000,,,,,6,31,75,56,power,0,,,,,
b_027,hydro_power_plant,Hydroelectric Dam,1,10000,10,10,concrete,6,construction_equipment_ice,2,rubber,4,plastics,4,,,2,10,power,standard,10000,,,,,6,31,94,62,power,0,,,,,hydro
b_028,battery,Battery Electric Storage,0,10000,10,10,concrete,2,electrical_components,4,construction_equipment_ice,1,rubber,4,plastics,4,2,10,battery,standard,10000,,,,,6,0,63,28,power,0,,,,,
