recipe_id,display_name,building_id,building_display,buildable,category,required_research,catalysts,maintenance_cost,labour_unskilled,labour_skilled,labour_h_skilled,labour_source,energy_req,input_1,qty_1,input_1_price,input_2,qty_2,input_2_price,input_3,qty_3,input_3_price,input_4,qty_4,input_4_price,input_5,qty_5,input_5_price,input_6,qty_6,input_6_price,output_1,output_qty_1,output_1_price,output_2,output_qty_2,output_2_price,output_3,output_qty_3,output_3_price,output_4,output_qty_4,output_4_price,output_5,output_qty_5,output_5_price,revenue,input_bill,energy_cost,maintenance,labour_cost,net_standalone,rate_unskilled,rate_skilled,rate_h_skilled,grid_buy_price
r_001,Coal Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,coal,60,0.5727,,,,,,,,,,,,,34.3620,0.0000,3.6000,4.0000,9.5000,17.2620,0.00304,0.00912,0.0304,0.12
r_002,Iron Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,iron_ore,40,0.851,,,,,,,,,,,,,34.0400,0.0000,3.6000,4.0000,9.5000,16.9400,0.00304,0.00912,0.0304,0.12
r_003,Steelmaking,furnace,Furnace,TRUE,Steel Production,,,3,1144,429,50,recipe,140,iron_ingots,37,1.2809,coal,20,0.5727,,,,,,,,,,,,,steel,44,2.3679,,,,,,,,,,,,,104.1876,58.8473,16.8000,3.0000,8.9102,16.6301,0.00304,0.00912,0.0304,0.12
r_004,Coal Power Production,power_plant,Power plant,TRUE,Power,,,8,500,208,109,recipe,0,coal,20,0.5727,pure_water,23,0.568,,,,,,,,,,,,,power,600,0.11,,,,,,,,,,,,,66.0000,24.5180,0.0000,8.0000,6.7306,26.7514,0.00304,0.00912,0.0304,0.12
r_005,Pig Iron Smelting,furnace,Furnace,TRUE,Iron Smelting,,,3,1144,429,50,recipe,140,iron_ore,40,0.851,coal,20,0.5727,,,,,,,,,,,,,iron_ingots,70,1.2809,,,,,,,,,,,,,89.6630,45.4940,16.8000,3.0000,8.9102,15.4588,0.00304,0.00912,0.0304,0.12
r_006,Copper Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,copper_ore,36,0.9442,,,,,,,,,,,,,33.9912,0.0000,3.6000,4.0000,9.5000,16.8912,0.00304,0.00912,0.0304,0.12
r_007,Copper Blistering,furnace,Furnace,TRUE,Copper Smelting,,,3,964,362,50,recipe,140,copper_ore,36,0.9442,,,,,,,,,,,,,,,,copper_ingots,25,3.1132,,,,,,,,,,,,,77.8300,33.9912,16.8000,3.0000,7.7520,16.2868,0.00304,0.00912,0.0304,0.12
r_008,Copper Wire Drawing,industrial_factory,Industrial Goods Factory,TRUE,Copper Products,,,10.5,4895,1836,186,recipe,80,copper_ingots,25,3.1132,,,,,,,,,,,,,,,,copper_wiring,33,4.7361,,,,,,,,,,,,,156.2913,77.8300,9.6000,10.5000,37.2795,21.0818,0.00304,0.00912,0.0304,0.12
r_009,Motor Manufacture,industrial_factory,Industrial Goods Factory,TRUE,Industrial Equipment,,,10.5,7114,2668,270,recipe,30,steel,32,2.3679,copper_wiring,32,4.7361,,,,,,,,,,,,,motor,28,11.3283,,,,,,,,,,,,,317.1924,227.3280,3.6000,10.5000,54.1667,21.5977,0.00304,0.00912,0.0304,0.12
r_010,Salt Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,basic_salt,25,0.7485,chem_salts,10,1.4722,,,,,,,,,,33.4345,0.0000,3.6000,4.0000,9.5000,16.3345,0.00304,0.00912,0.0304,0.12
r_011,Water Pumping,water_pump,Water Pump,TRUE,Water,,,1.5,1197,182,50,recipe,20,,,,,,,,,,,,,,,,,,,pure_water,48,0.568,,,,,,,,,,,,,27.2640,0.0000,2.4000,1.5000,6.8187,16.5453,0.00304,0.00912,0.0304,0.12
r_012,Chlor-Alkali Process,chem_plant,Chemical Plant,TRUE,Electrochemistry,,,7,4472,1677,169,recipe,200,basic_salt,50,0.7485,pure_water,47,0.568,,,,,,,,,,,,,chlorine,20,1.3964,sodium_hydroxide,40,1.0394,hydrogen,20,3.8691,,,,,,,146.8860,64.1210,24.0000,7.0000,34.0267,17.7383,0.00304,0.00912,0.0304,0.12
r_014,Oil Drilling,oil_well,Oil Wells,TRUE,Oil Extraction,,,1.5,1498,231,50,recipe,30,,,,,,,,,,,,,,,,,,,crude_oil,20,1.5626,,,,,,,,,,,,,31.2520,0.0000,3.6000,1.5000,8.1806,17.9714,0.00304,0.00912,0.0304,0.12
r_015,Bauxite Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,bauxite_ore,20,1.6872,,,,,,,,,,,,,33.7440,0.0000,3.6000,4.0000,9.5000,16.6440,0.00304,0.00912,0.0304,0.12
r_016,Lithium Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,lithium_ore,8,4.1951,,,,,,,,,,,,,33.5608,0.0000,3.6000,4.0000,9.5000,16.4608,0.00304,0.00912,0.0304,0.12
r_017,Rare Earth Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,ree_ore,12,2.8017,,,,,,,,,,,,,33.6204,0.0000,3.6000,4.0000,9.5000,16.5204,0.00304,0.00912,0.0304,0.12
r_018,Sand Excavation,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,sand,45,0.7585,,,,,,,,,,,,,34.1325,0.0000,3.6000,4.0000,9.5000,17.0325,0.00304,0.00912,0.0304,0.12
r_019,Limestone Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,limestone,25,1.3528,,,,,,,,,,,,,33.8200,0.0000,3.6000,4.0000,9.5000,16.7200,0.00304,0.00912,0.0304,0.12
r_020,Flash Copper Smelting,furnace,Furnace,TRUE,Copper Smelting,,,3,500,141,50,recipe,140,copper_ore,28,0.9442,industrial_acids,7,7.5376,oxygen,2,0.275,,,,,,,,,,copper_ingots,50,3.1132,,,,,,,,,,,,,155.6600,79.7508,16.8000,3.0000,4.3259,51.7833,0.00304,0.00912,0.0304,0.12
r_021,Heavy Fuels Refining,petro_refinery,Petrochemical Refinery,FALSE,Refining,,,8,756,287,50,recipe,70,heavy_oil,4,0,,,,,,,,,,,,,,,,fuels,3,3.3941,,,,,,,,,,,,,10.1823,0.0000,8.4000,,6.4357,,0.00304,0.00912,0.0304,0.12
r_022,Fuels Refining,petro_refinery,Petrochemical Refinery,TRUE,Refining,,,8,756,287,50,recipe,70,processed_oil,9,3.6601,,,,,,,,,,,,,,,,fuels,21,3.3941,,,,,,,,,,,,,71.2761,32.9409,8.4000,8.0000,6.4357,15.4995,0.00304,0.00912,0.0304,0.12
r_023,Ethylene Refining,petro_refinery,Petrochemical Refinery,TRUE,Refining,,,8,756,287,50,recipe,70,processed_oil,9,3.6601,,,,,,,,,,,,,,,,ethylene,12,5.9397,,,,,,,,,,,,,71.2764,32.9409,8.4000,8.0000,6.4357,15.4998,0.00304,0.00912,0.0304,0.12
r_024,Plastics Manufacturing,poly_plant,Polymerisation Refinery,TRUE,Chemistry,,,8,553,329,66,recipe,70,ethylene,9,5.9397,,,,,,,,,,,,,,,,plastics,10,9.2045,,,,,,,,,,,,,92.0450,53.4573,8.4000,8.0000,6.6880,15.4997,0.00304,0.00912,0.0304,0.12
r_025,Basic Oxygen Steelmaking,furnace,Furnace,TRUE,Steel Production,,,3,804,302,50,recipe,140,iron_ingots,21,1.2809,oxygen,3,0.275,limestone,8,1.3528,,,,,,,,,,steel,44,2.3679,,,,,,,,,,,,,104.1876,38.5463,16.8000,3.0000,6.7184,39.1229,0.00304,0.00912,0.0304,0.12
r_026,Copper Pipe Hot Rolling,furnace,Furnace,TRUE,Copper Products,,,3,616,231,50,recipe,70,copper_ingots,13,3.1132,,,,,,,,,,,,,,,,copper_pipe,18,4.0436,,,,,,,,,,,,,72.7848,40.4716,8.4000,3.0000,5.4994,15.4138,0.00304,0.00912,0.0304,0.12
r_028,Synthetic Rubber Production,poly_plant,Polymerisation Refinery,TRUE,Chemistry,,,8,553,329,66,recipe,70,ethylene,9,5.9397,oxygen,4,0.275,,,,,,,,,,,,,rubber,16,5.8216,,,,,,,,,,,,,93.1456,54.5573,8.4000,8.0000,6.6880,15.5003,0.00304,0.00912,0.0304,0.12
r_029,Concrete Firing,furnace,Furnace,TRUE,Building Materials,,,3,1078,405,50,recipe,140,limestone,19,1.3528,pure_water,14,0.568,silica,9,4.2886,coal,18,0.5727,,,,,,,concrete,21,6.0567,,,,,,,,,,,,,127.1907,82.5612,16.8000,3.0000,8.4907,16.3388,0.00304,0.00912,0.0304,0.12
