good,tier,integrated_cost_C,new_price,held
CPU,4,10.58,15.79,
SAF,2,0.636,1.0,
alkaline_battery,3,1.252,3.0,
alloy_ingots,1,0.47,1.0,
alloy_ore,0,0.163,1.0,
alumina,1,0.75,1.0,
aluminium,2,2.536,3.13,
ammonia,1,1.204,1.38,
api,2,1.402,1.73,
basic_salt,0,0.081,0.5,yes
battery,4,12.434,18.56,
battery_waste,0,0.3,2.0,
bauxite_ore,0,0.163,1.0,
biomass,0,0.463,1.0,
building_frame,4,8.741,13.05,
car_body,3,1.971,3.0,
carbon_fibre,3,5.624,7.7,
chem_salts,0,0.163,1.0,
chlorine,1,0.099,0.72,yes
circuit_board,3,4.215,5.77,
coal,0,0.163,1.0,yes
compressed_biomass,1,1.195,1.37,
computer,5,22.963,37.04,
concrete,2,1.17,1.44,
construction_equipment_ev,5,16.915,27.28,
construction_equipment_ice,4,11.015,16.44,
copper_ingots,1,0.367,1.6,yes
copper_ore,0,0.163,1.0,yes
copper_pipe,2,0.769,1.0,
copper_wiring,2,0.677,3.2,yes
crude_oil,0,0.255,1.0,
electrical_components,3,2.345,3.21,
engine,3,5.176,7.09,
ethanol,1,0.71,1.0,
ethylene,2,0.81,1.0,
ev_car,5,26.87,43.34,
fabric_crops,0,0.309,1.0,
fertilisers,2,1.343,1.66,
fibreglass,2,1.131,1.4,
flow_battery,4,6.603,9.86,
food,0,0.608,1.0,
food_products,3,1.898,3.0,
fuels,2,0.75,1.0,
glass,2,0.756,1.0,
graphite,2,3.299,4.0,
heavy_oil,1,0.315,1.0,
hq_steel,2,1.24,1.53,
hydrocarbon_power,1,0.639,1.0,
hydrogen,1,0.686,1.5,yes
ice_car,4,14.753,20.0,
industrial_acids,1,1.12,1.29,
iron_battery,3,1.884,3.0,
iron_ingots,1,0.422,1.6,yes
iron_ore,0,0.163,1.0,yes
large_engine,4,14.78,20.0,
light_oil,1,0.315,1.0,
limestone,0,0.163,1.0,
lithium_battery,4,10.783,16.09,
lithium_ore,0,0.163,1.0,
medical_components,5,13.195,21.28,
methane,1,0.6,1.0,
methanol,1,1.132,1.3,
motor,3,1.496,6.5,yes
municipal_waste,0,0.1,0.5,
nitrogen,0,0.355,1.0,
noble_gases,1,0.123,1.0,
oil_crops,0,0.309,1.0,
oxygen,1,0.123,1.0,
paper_goods,3,1.53,3.0,
paper_pulp,2,0.975,1.2,
petro_coke,1,0.435,1.0,
petro_gases,1,0.315,1.0,
plastics,2,0.885,1.09,
polysilicon,3,1.527,3.0,
power,1,0.108,1.0,yes
processed_oil,1,0.532,1.0,
propane,1,0.636,1.0,
pure_water,0,0.131,0.5,yes
pvc,2,1.211,1.5,
ree_ore,0,0.163,1.0,
refined_lithium,1,0.655,4.0,yes
refined_ree,1,0.795,4.0,yes
rubber,2,0.947,1.17,
sand,0,0.163,1.0,
scrap,0,0.3,2.0,
silica,1,0.571,1.0,
silicon,2,0.727,1.0,
sodium_battery,3,4.967,6.8,
sodium_hydroxide,1,0.11,0.8,yes
solar_panels,4,10.891,16.25,
solid_battery,5,5.218,8.42,
spec_microbes,1,1.088,1.25,
steel,2,0.54,2.25,yes
sulphur,0,0.035,1.0,
tires,3,1.677,3.0,
toys,3,0.785,3.0,
waste_water,0,0.05,0.1,
wind_turbine,4,10.268,15.33,
windows,3,2.156,3.0,
wood,0,0.165,1.0,
wood_pulp,1,0.574,1.0,
