recipe_id,display_name,building_id,input_1,qty_1,input_2,qty_2,input_3,qty_3,input_4,qty_4,input_5,qty_5,energy_req,optional_input,optional_production_multiplier,output_1,output_qty_1,output_2,output_qty_2,output_3,output_qty_3,output_4,output_qty_4,output_5,output_qty_5
r_001,Coal Mining,mine,,,,,,,,,,,1,,,coal,1,,,,,,,,
r_002,Iron Mining,mine,,,,,,,,,,,1,,,iron_ore,1,,,,,,,,
r_003,Copper Mining,mine,,,,,,,,,,,1,,,copper_ore,1,,,,,,,,
r_004,Salt Mining,mine,,,,,,,,,,,1,,,mined_salt,1,,,,,,,,
r_005,Water Extraction,water_well,,,,,,,,,,,1,chem_salts,0.25,water,1,,,,,,,,
r_006,Oil Drilling,oil_well,,,,,,,,,,,1,,,crude_oil,1,,,,,,,,
r_007,Iron Smelting,smelter,iron_ore,1,,,,,,,,,1,,,iron_ingots,1,,,,,,,,
r_008,Copper Smelting,smelter,copper_ore,1,,,,,,,,,1,,,copper_ingots,1,,,,,,,,
r_009,Oil Refining,refinery,crude_oil,1,,,,,,,,,2,,,processed_oil,2,,,,,,,,
r_010,Fuels Refining,refinery,processed_oil,1,,,,,,,,,2,,,fuels,2,,,,,,,,
r_011,Polymerisation,refinery,processed_oil,1,,,,,,,,,2,,,ethylene,1,,,,,,,,
r_012,Plastics manufacturing,chem_plant,ethylene,1,,,,,,,,,2,,,plastics,1,,,,,,,,
r_013,Steelmaking,furnace,iron_ingots,1,coal,1,oxygen,1,,,,,2,hydrogen,0.25,steel,1,,,,,,,,
r_014,Copper pressing,furnace,copper_ingots,1,,,,,,,,,1,,,copper_pipe,1,,,,,,,,
r_015,Copper drawing,furnace,copper_ingots,1,,,,,,,,,1,,,copper_wire,1,,,,,,,,
r_016,Synthetic Rubber Rroduction,chem_plant,plastics,1,ethylene,1,oxygen,1,,,,,2,,,rubber,1,,,,,,,,
r_017,Concrete Pouring,factory,limestone,2,pure_water,1,silica,1,,,,,2,,,concrete,1,,,,,,,,
r_018,Glass Blowing,glass_workshop,silica,1,pure_water,1,,,,,,,1,,,glass,1,,,,,,,,
r_019,Glass Manufacture,factory,silica,1,pure_water,1,limestone,1,,,,,2,,,glass,3,,,,,,,,
r_020,Lithium Ion Battery Manufacturing,factory,refined_lithium,2,copper_wire,1,graphite,1,,,,,2,,,lithium_battery,1,,,,,,,,
r_021,Construction Equiment Assembly (ICE),factory,steel,1,rubber,1,plastics,1,fuels,1,motor,1,2,,,construction_equipment_ice,1,,,,,,,,
r_022,Construction Equipment Assembly (EV),factory,steel,1,rubber,1,plastics,1,lithium_battery,1,motor,1,2,,,construction_equipment_ev,1,,,,,,,,
r_023,Silica Refining,refinery,sand,1,pure_water,1,,,,,,,2,,,silica,1,,,,,,,,
r_024,Coal power generation,power_plant,coal,1,,,,,,,,,0,,,hydrocarbon_power,1,,,,,,,,
r_025,Onshore wind generation,onshore_wind_farm,,,,,,,,,,,0,,,green_power,1,,,,,,,,
r_026,Gas combined cycle turbines,power_plant,fuels,1,,,,,,,,,0,,,hydrocarbon_power,1,,,,,,,,
r_027,Lithium Electrolysis,electrolyser,lithium_ore,2,chlorine,1,,,,,,,5,,,refined_lithium,1,,,,,,,,
r_028,Aluminium Smelting,electrolyser,bauxite_ore,2,,,,,,,,,7,,,aluminium,1,,,,,,,,
r_029,Rare Earth Reduction,electrolyser,ree_ore,2,sodium_hydroxide,1,,,,,,,6,,,refined_ree,1,,,,,,,,
r_030,Bio-Graphitisation,furnace,compressed_biomass,5,ammonia,1,,,,,,,7,,,graphite,2,,,,,,,,
r_031,Synthetic Graphitisation,furnace,petroleum_needle_coke,3,,,,,,,,,5,,,graphite,2,,,,,,,,
r_032,Petroleum Cracking,refinery,processed_oil,1,,,,,,,,,3,,,petroleum_needle_coke,2,,,,,,,,
r_033,Biomass Compression,refinery,biomass,2,,,,,,,,,2,,,compressed_biomass,1,,,,,,,,
r_034,Hydroelectric Turbines,hydro_dam,,,,,,,,,,,0,,,,,,,,,,,,
r_035,Silicon Smelting (Coal),furnace,silica,1,coal,1,,,,,,,6,,,silicon,1,,,,,,,,
r_036,Silicon Smelting (Bio),furnace,silica,1,compressed_biomass,1,,,,,,,6,,,silicon,1,,,,,,,,
r_037,Haber Bosch Process,chem_plant,nitrogen,1,hydrogen,2,,,,,,,3,,,ammonia,2,,,,,,,,
r_038,Fertilisers Production,chem_plant,ammonia,1,mined_salt,2,biomass,1,,,,,3,,,fertilisers,2,,,,,,,,
r_039,Chlor Alkali Process,chem_plant,mined_salt,1,pure_water,1,,,,,,,5,,,chlorine,2,sodium_hydroxide,,,,,,,
r_040,,,,,,,,,,,,,,,,,,,,,,,,,
r_041,,,,,,,,,,,,,,,,,,,,,,,,,
r_042,,,,,,,,,,,,,,,,,,,,,,,,,
r_043,,,,,,,,,,,,,,,,,,,,,,,,,
r_044,,,,,,,,,,,,,,,,,,,,,,,,,
r_045,,,,,,,,,,,,,,,,,,,,,,,,,
r_046,,,,,,,,,,,,,,,,,,,,,,,,,
r_047,,,,,,,,,,,,,,,,,,,,,,,,,
r_048,,,,,,,,,,,,,,,,,,,,,,,,,
r_049,,,,,,,,,,,,,,,,,,,,,,,,,
r_050,,,,,,,,,,,,,,,,,,,,,,,,,
r_051,,,,,,,,,,,,,,,,,,,,,,,,,
r_052,,,,,,,,,,,,,,,,,,,,,,,,,
r_053,,,,,,,,,,,,,,,,,,,,,,,,,
r_054,,,,,,,,,,,,,,,,,,,,,,,,,
r_055,,,,,,,,,,,,,,,,,,,,,,,,,
r_056,,,,,,,,,,,,,,,,,,,,,,,,,
r_057,,,,,,,,,,,,,,,,,,,,,,,,,
r_058,,,,,,,,,,,,,,,,,,,,,,,,,
r_059,,,,,,,,,,,,,,,,,,,,,,,,,
r_060,,,,,,,,,,,,,,,,,,,,,,,,,
r_061,,,,,,,,,,,,,,,,,,,,,,,,,
r_062,,,,,,,,,,,,,,,,,,,,,,,,,
r_063,,,,,,,,,,,,,,,,,,,,,,,,,
r_064,,,,,,,,,,,,,,,,,,,,,,,,,
r_065,,,,,,,,,,,,,,,,,,,,,,,,,
r_066,,,,,,,,,,,,,,,,,,,,,,,,,
r_067,,,,,,,,,,,,,,,,,,,,,,,,,
r_068,,,,,,,,,,,,,,,,,,,,,,,,,
r_069,,,,,,,,,,,,,,,,,,,,,,,,,
r_070,,,,,,,,,,,,,,,,,,,,,,,,,
r_071,,,,,,,,,,,,,,,,,,,,,,,,,
r_072,,,,,,,,,,,,,,,,,,,,,,,,,
r_073,,,,,,,,,,,,,,,,,,,,,,,,,
r_074,,,,,,,,,,,,,,,,,,,,,,,,,
r_075,,,,,,,,,,,,,,,,,,,,,,,,,
r_076,,,,,,,,,,,,,,,,,,,,,,,,,
r_077,,,,,,,,,,,,,,,,,,,,,,,,,
r_078,,,,,,,,,,,,,,,,,,,,,,,,,
r_079,,,,,,,,,,,,,,,,,,,,,,,,,
r_080,,,,,,,,,,,,,,,,,,,,,,,,,
r_081,,,,,,,,,,,,,,,,,,,,,,,,,
r_082,,,,,,,,,,,,,,,,,,,,,,,,,
r_083,,,,,,,,,,,,,,,,,,,,,,,,,
r_084,,,,,,,,,,,,,,,,,,,,,,,,,
r_085,,,,,,,,,,,,,,,,,,,,,,,,,
r_086,,,,,,,,,,,,,,,,,,,,,,,,,
r_087,,,,,,,,,,,,,,,,,,,,,,,,,
r_088,,,,,,,,,,,,,,,,,,,,,,,,,
r_089,,,,,,,,,,,,,,,,,,,,,,,,,
r_090,,,,,,,,,,,,,,,,,,,,,,,,,
r_091,,,,,,,,,,,,,,,,,,,,,,,,,
r_092,,,,,,,,,,,,,,,,,,,,,,,,,
r_093,,,,,,,,,,,,,,,,,,,,,,,,,
r_094,,,,,,,,,,,,,,,,,,,,,,,,,
r_095,,,,,,,,,,,,,,,,,,,,,,,,,
r_096,,,,,,,,,,,,,,,,,,,,,,,,,
r_097,,,,,,,,,,,,,,,,,,,,,,,,,
r_098,,,,,,,,,,,,,,,,,,,,,,,,,
r_099,,,,,,,,,,,,,,,,,,,,,,,,,
r_100,,,,,,,,,,,,,,,,,,,,,,,,,
r_101,,,,,,,,,,,,,,,,,,,,,,,,,
r_102,,,,,,,,,,,,,,,,,,,,,,,,,
r_103,,,,,,,,,,,,,,,,,,,,,,,,,
r_104,,,,,,,,,,,,,,,,,,,,,,,,,
r_105,,,,,,,,,,,,,,,,,,,,,,,,,
r_106,,,,,,,,,,,,,,,,,,,,,,,,,
r_107,,,,,,,,,,,,,,,,,,,,,,,,,
r_108,,,,,,,,,,,,,,,,,,,,,,,,,
r_109,,,,,,,,,,,,,,,,,,,,,,,,,
r_110,,,,,,,,,,,,,,,,,,,,,,,,,
r_111,,,,,,,,,,,,,,,,,,,,,,,,,
r_112,,,,,,,,,,,,,,,,,,,,,,,,,
r_113,,,,,,,,,,,,,,,,,,,,,,,,,
r_114,,,,,,,,,,,,,,,,,,,,,,,,,
r_115,,,,,,,,,,,,,,,,,,,,,,,,,
r_116,,,,,,,,,,,,,,,,,,,,,,,,,
r_117,,,,,,,,,,,,,,,,,,,,,,,,,
r_118,,,,,,,,,,,,,,,,,,,,,,,,,
r_119,,,,,,,,,,,,,,,,,,,,,,,,,
r_120,,,,,,,,,,,,,,,,,,,,,,,,,
r_121,,,,,,,,,,,,,,,,,,,,,,,,,
r_122,,,,,,,,,,,,,,,,,,,,,,,,,
r_123,,,,,,,,,,,,,,,,,,,,,,,,,
r_124,,,,,,,,,,,,,,,,,,,,,,,,,
r_125,,,,,,,,,,,,,,,,,,,,,,,,,
r_126,,,,,,,,,,,,,,,,,,,,,,,,,
r_127,,,,,,,,,,,,,,,,,,,,,,,,,
r_128,,,,,,,,,,,,,,,,,,,,,,,,,
r_129,,,,,,,,,,,,,,,,,,,,,,,,,
r_130,,,,,,,,,,,,,,,,,,,,,,,,,
r_131,,,,,,,,,,,,,,,,,,,,,,,,,
r_132,,,,,,,,,,,,,,,,,,,,,,,,,
r_133,,,,,,,,,,,,,,,,,,,,,,,,,
r_134,,,,,,,,,,,,,,,,,,,,,,,,,
r_135,,,,,,,,,,,,,,,,,,,,,,,,,
r_136,,,,,,,,,,,,,,,,,,,,,,,,,
r_137,,,,,,,,,,,,,,,,,,,,,,,,,
r_138,,,,,,,,,,,,,,,,,,,,,,,,,
r_139,,,,,,,,,,,,,,,,,,,,,,,,,
r_140,,,,,,,,,,,,,,,,,,,,,,,,,
r_141,,,,,,,,,,,,,,,,,,,,,,,,,
r_142,,,,,,,,,,,,,,,,,,,,,,,,,
r_143,,,,,,,,,,,,,,,,,,,,,,,,,
r_144,,,,,,,,,,,,,,,,,,,,,,,,,
r_145,,,,,,,,,,,,,,,,,,,,,,,,,
r_146,,,,,,,,,,,,,,,,,,,,,,,,,
r_147,,,,,,,,,,,,,,,,,,,,,,,,,
r_148,,,,,,,,,,,,,,,,,,,,,,,,,
r_149,,,,,,,,,,,,,,,,,,,,,,,,,
r_150,,,,,,,,,,,,,,,,,,,,,,,,,
