recipe_id,display_name,building_id,building_name,input_1,qty_1,input_2,qty_2,input_3,qty_3,input_4,qty_4,input_5,qty_5,energy_req,optional_input,optional_production_multiplier,output_1,output_qty_1,output_2,output_qty_2,output_3,output_qty_3,output_4,output_qty_4,output_5,output_qty_5,requirements
r_001,Coal Mining,b_001,Mine,,,,,,,,,,,4,,,coal,20,,,,,,,,,deposit:coal
r_002,Iron Mining,b_001,Mine,,,,,,,,,,,4,,,iron_ore,20,,,,,,,,,deposit:iron_ore
r_003,Steelmaking,b_002,Furnace,iron_ingots,20,coal,10,,,,,,,14,,,steel,30,,,,,,,,,
r_004,Power Production,b_003,Power Plant,coal,20,pure_water,6,,,,,,,0,,,power,100,,,,,,,,,
r_005,Roads,b_004,,,,,,,,,,,,0,,,,,,,,,,,,,
r_006,Port,b_005,,,,,,,,,,,,0,,,,,,,,,,,,,
r_007,Iron Smelting,b_002,Furnace,iron_ore,30,,,,,,,,,14,,,iron_ingots,30,,,,,,,,,
r_008,Copper Mining,b_001,Mine,,,,,,,,,,,4,,,copper_ore,20,,,,,,,,,deposit:copper_ore
r_009,Copper Smelting,b_002,Furnace,copper_ore,30,,,,,,,,,10,,,copper_ingots,30,,,,,,,,,
r_010,Copper Wire Drawing,b_007,Industrial Factory,copper_ingots,20,,,,,,,,,13,,,copper_wiring,20,,,,,,,,,
r_011,Motor Manufacture,b_007,Industrial Factory,steel,15,copper_wiring,12,,,,,,,6,,,motor,15,,,,,,,,,
r_012,Salt Mining,b_001,Mine,,,,,,,,,,,4,,,basic_salt,40,,,,,,,,,deposit:basic_salt
r_013,Water Pumping,b_037,Water Pump,,,,,,,,,,,3,,,pure_water,40,,,,,,,,,
r_014,Chlor-Alkali Process,b_012,Chemical Plant,basic_salt,20,pure_water,20,,,,,,,10,,,chlorine,24,sodium_hydroxide,18,hydrogen,6,,,,,
