recipe_id,display_name,building_id,input_1,qty_1,input_2,qty_2,input_3,qty_3,input_4,qty_4,input_5,qty_5,input_6,qty_6,energy_req,output_1,output_qty_1,output_2,output_qty_2,output_3,output_qty_3,output_4,output_qty_4,output_5,output_qty_5,requirements,pollution_output,pollution_sensitivity,category,terminal_turns,required_research,labour_unskilled_required,labour_skilled_required,labour_h_skilled_required,catalysts
r_001,Coal Mining,mine,,,,,,,,,,,,,30,coal,60,,,,,,,,,deposit:coal,,,Mineral Mining,,,1806,273,50,
r_002,Iron Mining,mine,,,,,,,,,,,,,30,iron_ore,40,,,,,,,,,deposit:iron_ore,,,Mineral Mining,,,1806,273,50,
r_003,Steelmaking,furnace,iron_ingots,40,coal,20,,,,,,,,,140,steel,48,,,,,,,,,,,,Steel Production,,,1144,429,50,
r_004,Power Production,power_plant,coal,20,pure_water,20,,,,,,,,,0,power,600,,,,,,,,,,,,Power,,,500,208,109,
r_005,Pig Iron Smelting,furnace,iron_ore,40,coal,20,,,,,,,,,140,iron_ingots,70,,,,,,,,,,,,Iron Smelting,,,1144,429,50,
r_006,Copper Mining,mine,,,,,,,,,,,,,30,copper_ore,36,,,,,,,,,deposit:copper_ore,,,Mineral Mining,,,1806,273,50,
r_007,Copper Blistering,furnace,copper_ore,36,,,,,,,,,,,140,copper_ingots,24,,,,,,,,,,,,Copper Smelting,,,964,362,50,
r_008,Copper Wire Drawing,industrial_factory,copper_ingots,24,,,,,,,,,,,80,copper_wiring,32,,,,,,,,,,,,Copper Products,,,4895,1836,186,
r_009,Motor Manufacture,industrial_factory,steel,30,copper_wiring,32,,,,,,,,,30,motor,28,,,,,,,,,,,,Industrial Equipment,,,7114,2668,270,
r_010,Salt Mining,mine,,,,,,,,,,,,,30,basic_salt,25,chem_salts,10,,,,,,,deposit:basic_salt,,,Mineral Mining,,,1806,273,50,
r_011,Water Pumping,water_pump,,,,,,,,,,,,,20,pure_water,48,,,,,,,,,deposit:water,,,Water,,,1197,182,50,
r_012,Chlor-Alkali Process,chem_plant,basic_salt,44,pure_water,44,,,,,,,,,200,chlorine,22,sodium_hydroxide,44,hydrogen,22,,,,,,,,Electrochemistry,,,4472,1677,169,
r_014,Oil Drilling,oil_well,,,,,,,,,,,,,30,crude_oil,20,,,,,,,,,deposit:crude_oil,,,Oil Extraction,,,1498,231,50,
r_015,Bauxite Mining,mine,,,,,,,,,,,,,30,bauxite_ore,20,,,,,,,,,deposit:bauxite_ore,,,Mineral Mining,,,1806,273,50,
r_016,Lithium Mining,mine,,,,,,,,,,,,,30,lithium_ore,8,,,,,,,,,deposit:lithium_ore,,,Mineral Mining,,,1806,273,50,
r_017,Rare Earth Mining,mine,,,,,,,,,,,,,30,ree_ore,12,,,,,,,,,deposit:ree_ore,,,Mineral Mining,,,1806,273,50,
r_018,Sand Excavation,mine,,,,,,,,,,,,,30,sand,45,,,,,,,,,deposit:sand,,,Mineral Mining,,,1806,273,50,
r_019,Limestone Mining,mine,,,,,,,,,,,,,30,limestone,25,,,,,,,,,deposit:limestone,,,Mineral Mining,,,1806,273,50,
r_020,Flash Copper Smelting,furnace,copper_ore,30,industrial_acids,2,oxygen,2,,,,,,,140,copper_ingots,36,,,,,,,,,,,,Copper Smelting,,Electric Arc Refining,937,352,50,
r_021,Heavy Fuels Refining,petro_refinery,heavy_oil,4,,,,,,,,,,,70,fuels,3,,,,,,,,,,,,Refining,,,756,287,50,
r_022,Fuels Refining,petro_refinery,processed_oil,10,,,,,,,,,,,70,fuels,22,,,,,,,,,,,,Refining,,,756,287,50,
r_023,Ethylene Refining,petro_refinery,processed_oil,10,,,,,,,,,,,70,ethylene,13,,,,,,,,,,,,Refining,,,756,287,50,
r_024,Plastics Manufacturing,poly_plant,ethylene,10,,,,,,,,,,,70,plastics,12,,,,,,,,,,,,Chemistry,,,553,329,66,
r_025,Basic Oxygen Steelmaking,furnace,iron_ingots,16,oxygen,3,limestone,6,,,,,,,140,steel,40,,,,,,,,,,,,Steel Production,,Oxygen-Enriched Blast,804,302,50,
r_026,Copper Pipe Hot Rolling,furnace,copper_ingots,13,,,,,,,,,,,70,copper_pipe,18,,,,,,,,,,,,Copper Products,,,616,231,50,
r_028,Synthetic Rubber Production,poly_plant,ethylene,10,oxygen,4,,,,,,,,,70,rubber,17,,,,,,,,,,,,Chemistry,,,553,329,66,
