recipe_id,display_name,building_id,input_1,qty_1,input_2,qty_2,input_3,qty_3,input_4,qty_4,input_5,qty_5,input_6,qty_6,energy_req,output_1,output_qty_1,output_2,output_qty_2,output_3,output_qty_3,output_4,output_qty_4,output_5,output_qty_5,requirements,pollution_output,pollution_sensitivity,category,terminal_turns
r_001,Coal Mining,mine,,,,,,,,,,,,,3,coal,10,,,,,,,,,coal_deposit,,,Extraction,
r_002,Iron Mining,mine,,,,,,,,,,,,,3,iron_ore,10,,,,,,,,,iron_deposit,,,Extraction,
r_003,Copper Mining,mine,,,,,,,,,,,,,3,copper_ore,10,,,,,,,,,copper_deposit,,,Extraction,
r_004,Salt Mining,mine,,,,,,,,,,,,,3,basic_salt,10,chem_salts,20,,,,,,,salt_deposit,,,Extraction,
r_005,Water Extraction,water_well,,,,,,,,,,,,,3,pure_water,10,,,,,,,,,water_deposit OR river_water,,,Extraction,
r_006,Oil Drilling,oil_well,,,,,,,,,,,,,2,crude_oil,10,,,,,,,,,crude_oil_deposit,,,Extraction,
r_007,Bauxite Mining,mine,,,,,,,,,,,,,3,bauxite_ore,10,,,,,,,,,,,,Extraction,
r_008,Lithium Mining,mine,,,,,,,,,,,,,3,lithium_ore,10,,,,,,,,,,,,Extraction,
r_009,Rare Earth Mining,mine,,,,,,,,,,,,,3,ree_ore,10,,,,,,,,,,,,Extraction,
r_010,Sand Excavation,mine,,,,,,,,,,,,,2,sand,10,,,,,,,,,,,,Extraction,
r_011,Limestone Mining,mine,,,,,,,,,,,,,2,limestone,10,,,,,,,,,,,,Extraction,
r_012,Pig Iron Smelting,furnace,iron_ore,1,coal,1,,,,,,,,,6,iron_ingots,2,,,,,,,,,,,,Iron,
r_013,Flash Copper Smelting,furnace,copper_ore,1,industrial_acids,1,oxygen,1,,,,,,,6,copper_ingots,3,,,,,,,,,,,,Copper,
r_014,Heavy Fuels Refining,petro_refinery,heavy_oil,4,,,,,,,,,,,4,fuels,3,co2,2,,,,,,,,,,Crude Oil,
r_015,Fuels Refining,petro_refinery,light_oil,4,,,,,,,,,,,4,fuels,4,co2,1,,,,,,,,,,Oil Refining,
r_016,Ethylene Refining,petro_refinery,processed_oil,1,,,,,,,,,,,2,ethylene,1,,,,,,,,,,,,Oil Refining,
r_017,plasticss Manufacturing,poly_plant,ethylene,1,,,,,,,,,,,2,plasticss,1,,,,,,,,,,,,Polymers,
r_018,Basic Oxygen Steelmaking,furnace,iron_ingots,1,oxygen,1,limestone,1,,,,,,,2,steel,1,,,,,,,,,,,,Steel,
r_019,Copper pressing,factory,copper_ingots,1,,,,,,,,,,,4,copper_pipe,1,,,,,,,,,,,,Copper products,
r_020,Copper drawing,factory,copper_ingots,1,,,,,,,,,,,4,copper_wire,1,,,,,,,,,,,,Copper products,
r_021,Synthetic Rubber Production,poly_plant,plasticss,1,ethylene,1,oxygen,1,,,,,,,2,rubber,1,,,,,,,,,,,,Polymers,
r_022,Concrete Firing,furnace,limestone,2,pure_water,1,silica,1,,,,,,,2,concrete,1,,,,,,,,,,,,Concrete,
r_023,Electric Concrete Production,eaf,limestone,2,pure_water,1,silica,1,,,,,,,5,concrete,2,,,,,,,,,,,,Concrete,
r_024,Direct Reduced Iron Smelting,furnace,iron_ore,1,hydrogen,1,,,,,,,,,5,iron_ingots,1,,,,,,,,,,,,Iron,
r_025,Lithium Ion Battery Manufacturing,factory,lithium_carbonate,2,electrical_components,1,graphite,1,alloy_ingots,1,,,,,2,lithium_battery,6,,,,,,,,,,,,Battery,
r_026,Construction Equiment Assembly (ICE),factory,steel,1,rubber,1,plasticss,1,fuels,1,motor,1,,,2,construction_equipment_ice,1,,,,,,,,,,,,Construction Equipment,
r_027,Construction Equipment Assembly (EV),factory,steel,1,rubber,1,plasticss,1,lithium_battery,1,motor,1,,,2,construction_equipment_ev,1,,,,,,,,,,,,Construction Equipment,
r_028,Silica Washing,petro_refinery,sand,1,pure_water,1,,,,,,,,,2,silica,1,,,,,,,,,,,,Silica,
r_029,Coal power generation,power_plant,coal,1,,,,,,,,,,,0,power,100,co2,6,,,,,,,,,,Coal,
r_030,Onshore wind generation,onshore_wind_farm,,,,,,,,,,,,,0,power,70,,,,,,,,,,,,Wind,
r_031,Gas Combined Cycle Turbines,power_plant,methane,3,,,,,,,,,,,0,power,90,,,,,,,,,,,,Gas,
r_032,Lithium Electrolysis,electrolyser,lithium_ore,2,,,,,,,,,,,5,lithium_carbonate,1,,,,,,,,,,,,Lithium,
r_033,Bayer Process,furnace,bauxite_ore,2,sodium_hydroxide,1,,,,,,,,,7,alumina,1,,,,,,,,,,,,Aluminium,
r_034,Rare Earth Reduction,electrolyser,ree_ore,2,sodium_hydroxide,1,,,,,,,,,6,refined_ree,1,,,,,,,,,chlorine,,,Rare Earths,
r_035,Bio-Graphitisation,furnace,compressed_biomass,5,ammonia,1,,,,,,,,,7,graphite,2,,,,,,,,,,,,Carbon,
r_036,Biomass Compression,bio_chem_plant,biomass,2,,,,,,,,,,,2,compressed_biomass,1,,,,,,,,,,,,Carbon,
r_037,Hydroelectric Turbines,hydro_dam,,,,,,,,,,,,,0,,,,,,,,,,,river on tile,,,Hydro,
r_038,Silicon Smelting,eaf,silica,1,coal,1,,,,,,,,,6,metallurgical_silicon,3,,,,,,,,,,,,Extraction,
r_039,Semiconductor-grade Silicon Wafering,chem_plant,metallurgical_silicon,6,,,,,,,,,,,,,,,,,,,,,,,,,,
r_040,Polysilicon (Siemens) Smelting,chem_plant,metallurgical_silicon,3,,,,,,,,,,,8,polysilicon,3,,,,,,,,,hydrogen,,,Extraction,
r_041,Haber Bosch Process,chem_plant,nitrogen,1,hydrogen,2,,,,,,,,,3,ammonia,2,,,,,,,,,,,,Extraction,
r_042,Fertilisers Production,chem_plant,ammonia,1,chem_salts,2,biomass,1,,,,,,,3,fertilisers,2,,,,,,,,,,,,Extraction,
r_043,Chlor Alkali Process,chem_plant,basic_salt,1,pure_water,1,,,,,,,,,5,chlorine,10,sodium_hydroxide,8,hydrogen,2,,,,,,,,Extraction,
r_044,Direct Lithium Extraction,brine_processing_plant,chem_salts,3,pure_water,10,,,,,,,,,3,lithium_carbonate,1,chlorine,1,,,,,,,brine_deposit,,,Extraction,
r_045,Brine Evaporation,brine_processing_plant,,1,,,,,,,,,,,3,sulphur,1,chem_salts,5,basic_salt,3,,,,,brine_deposit,,,Extraction,
r_046,Aluminium (Hall Heroult) Smelting,chem_plant,alumina,1,graphite,1,chem_salts,1,,,,,,,8,aluminium,2,,,,,,,,,,,,Extraction,
r_047,Desalination,desal_plant,,,,,,,,,,,,,3,pure_water,2,,,,,,,,,,,,Extraction,
r_048,Traditional Glassblowing,furnace,silica,2,pure_water,2,,,,,,,,,1,glass,1,,,,,,,,,,,,Extraction,
r_049,Industrial Glassmaking,furnace,silica,2,alumina,1,,,,,,,,,6,glass,2,,,,,,,,,,,,Extraction,
r_050,High Strength Glassmaking,furnace,silica,2,alumina,1,sulphur,1,,,,,,,6,glass,3,,,,,,,,,,,,Extraction,
r_051,Traditional Windowmaking,factory,timber,2,glass,3,,,,,,,,,6,glass,4,,,,,,,,,,,,Extraction,
r_052,Window Manufacturing,factory,pvc,2,glass,4,noble_gases,1,,,,,,,2,windows,4,,,,,,,,,,,,Extraction,
r_053,Building Frame Manufacture,assembly_plant,steel,6,windows,4,aluminium,2,plasticss,2,rubber,2,,,3,building_frame,1,,,,,,,,,,,,Extraction,
r_054,Solar Panel Manufacturing,assembly_plant,metallurgical_silicon,6,electrical_components,1,alloy_ingots,2,aluminium,1,,,,,4,solar_panel,3,,,,,,,,,,,,Extraction,
r_055,Wind Turbine Manufacturing,assembly_plant,fibreglass,4,refined_ree,2,motor,2,electrical_components,2,,,,,3,wind_turbine,3,,,,,,,,,,,,Extraction,
r_056,Durable Perovskite Solar Panels,assembly_plant,polysilicon,6,electrical_components,1,alloy_ingots,2,aluminium,1,plasticss,3,,,4,solar_panel,4,,,,,,,,,,,,Extraction,
r_057,Segmented Assembly Wind Turbines,assembly_plant,fibreglass,2,refined_ree,2,motor,2,electrical_components,2,,,,,3,wind_turbine,4,,,,,,,,,,,,Extraction,
r_058,Carbon Fibre Wind Turbines,high_tech_manufactory,fibreglass,2,carbon_fibre,2,refined_ree,2,,,,,,,3,wind_turbine,5,,,,,,,,,,,,Extraction,
r_059,Heterojunction Solar Panels,high_tech_manufactory,polysilicon,8,electrical_components,1,alloy_ingots,2,aluminium,1,plasticss,3,,,4,solar_panel,5,,,,,,,,,,,,Extraction,
r_060,Triple Tandem Solar Panels,high_tech_manufactory,polysilicon,10,electrical_components,2,alloy_ingots,2,aluminium,1,refined_ree,2,,,5,solar_panel,6,,,,,,,,,,,,Extraction,
r_061,SynRM Magnetless Motors,assembly_plant,steel,3,copper_wiring,12,plasticss,2,,,,,,,4,motor,4,,,,,,,,,,,,Extraction,
r_062,Axial Flux Motors,assembly_plant,steel,3,copper_wiring,6,refined_ree,2,alloy_ingots,2,,,,,4,motor,6,,,,,,,,,,,,Extraction,
r_063,Rubber Vulcanisation,chem_plant,rubber,3,sulphur,2,,,,,,,,,5,tyres,8,,,,,,,,,,,,Extraction,
r_064,Car Body Manufacturing,factory,steel,4,,,,,,,,,,,3,car_body,2,,,,,,,,,,,,Extraction,
r_065,Lightweight Car Bodies,assembly_plant,steel,3,aluminium,2,fibreglass,1,,,,,,,4,car_body,3,,,,,,,,,,,,Extraction,
r_066,Superlightweight Car Bodies,assembly_plant,aluminium,4,carbon_fibre,1,,,,,,,,,4,car_body,4,,,,,,,,,,,,Extraction,
r_067,ICE Engine Manufacturing,factory,steel,2,copper_wiring,2,processed_oil,1,aluminium,1,,,,,3,engine,2,,,,,,,,,,,,Extraction,
r_068,V8 Engine Manufacturing,factory,steel,1,aluminium,2,processed_oil,2,electrical_components,1,alkaline_battery,1,,,4,engine,3,,,,,,,,,,,,Extraction,
r_069,Large Vehicle Engine Manufacturing,assembly_plant,steel,4,aluminium,2,processed_oil,2,electrical_components,3,alkaline_battery,2,,,5,large_engine,2,,,,,,,,,,,,Extraction,
r_070,Hybrid Engine Manufacturing,assembly_plant,aluminium,2,circuit_board,1,processed_oil,1,lithium_battery,1,motor,1,,,4,engine,5,,,,,,,,,,,,Extraction,
r_071,Beneficiated Iron Mining,mine,,,,,,,,,,,,,,iron_ore,2,,,,,,,,,,,,Extraction,
r_072,Electric Arc Steelmaking,eaf,iron_ingots,2,hydrogen,1,,,,,,,,,10,steel,4,,,,,,,,,,,,Extraction,
r_073,HIsarna Steel Making,furnace,iron_ingots,4,oxygen,2,coal,1,,,,,,,4,steel,4,,,,,,,,,,,,Extraction,
