recipe_id,display_name,building_id,input_1,qty_1,input_2,qty_2,input_3,qty_3,input_4,qty_4,input_5,qty_5,input_6,qty_6,energy_req,output_1,output_qty_1,output_2,output_qty_2,output_3,output_qty_3,output_4,output_qty_4,output_5,output_qty_5,requirements,pollution_output,pollution_sensitivity,category,terminal_turns
r_001,Coal Mining,mine,,,,,,,,,,,,,3,coal,20,,,,,,,,,deposit:coal,,,extraction,
r_002,Iron Mining,mine,,,,,,,,,,,,,3,iron_ore,20,,,,,,,,,deposit:iron_ore,,,extraction,
r_003,Steelmaking,furnace,iron_ingots,20,coal,10,,,,,,,,,9,steel,30,,,,,,,,,,,,smelting,
r_004,Power Production,coal_power,coal,20,pure_water,6,,,,,,,,,0,power,100,,,,,,,,,,,,power,
r_005,Pig Iron Smelting,furnace,iron_ore,30,coal,10,,,,,,,,,9,iron_ingots,30,,,,,,,,,,,,smelting,
r_006,Copper Mining,mine,,,,,,,,,,,,,3,copper_ore,20,,,,,,,,,deposit:copper_ore,,,extraction,
r_007,Copper Blistering,furnace,copper_ore,30,,,,,,,,,,,9,copper_ingots,30,,,,,,,,,,,,smelting,
r_008,Copper Wire Drawing,industrial_factory,copper_ingots,20,,,,,,,,,,,4,copper_wiring,20,,,,,,,,,,,,manufacturing,
r_009,Motor Manufacture,industrial_factory,steel,15,copper_wiring,12,,,,,,,,,4,motor,15,,,,,,,,,,,,manufacturing,
r_010,Salt Mining,mine,,,,,,,,,,,,,3,basic_salt,20,chem_salts,10,,,,,,,deposit:basic_salt,,,extraction,
r_011,Water Pumping,water_pump,,,,,,,,,,,,,3,pure_water,40,,,,,,,,,deposit:water,,,water,
r_012,Chlor-Alkali Process,chem_plant,basic_salt,20,pure_water,20,,,,,,,,,9,chlorine,48,sodium_hydroxide,36,hydrogen,12,,,,,,,,electrochemistry,
r_013,Water Extraction,water_well,,,,,,,,,,,,,3,pure_water,40,,,,,,,,,water_deposit OR river_water,,,Extraction,
r_014,Oil Drilling,oil_well,,,,,,,,,,,,,2,crude_oil,20,,,,,,,,,deposit:crude_oil,,,Extraction,
r_015,Bauxite Mining,mine,,,,,,,,,,,,,3,bauxite_ore,20,,,,,,,,,deposit:bauxite_ore,,,Extraction,
r_016,Lithium Mining,mine,,,,,,,,,,,,,3,lithium_ore,20,,,,,,,,,,,,Extraction,
r_017,Rare Earth Mining,mine,,,,,,,,,,,,,3,ree_ore,20,,,,,,,,,deposit:ree_ore,,,extraction,
r_018,Sand Excavation,mine,,,,,,,,,,,,,3,sand,20,,,,,,,,,deposit:sand,,,Extraction,
r_019,Limestone Mining,mine,,,,,,,,,,,,,3,limestone,20,,,,,,,,,deposit:limestone,,,Extraction,
r_020,Flash Copper Smelting,furnace,copper_ore,10,industrial_acids,10,oxygen,10,,,,,,,9,copper_ingots,30,,,,,,,,,,,,Copper,
r_021,Heavy Fuels Refining,petro_refinery,heavy_oil,30,,,,,,,,,,,5,fuels,20,,,,,,,,,,,,Crude Oil,
r_022,Fuels Refining,petro_refinery,light_oil,20,,,,,,,,,,,5,fuels,20,,,,,,,,,,,,Oil Refining,
r_023,Ethylene Refining,petro_refinery,processed_oil,20,,,,,,,,,,,5,ethylene,20,,,,,,,,,,,,Oil Refining,
r_024,Plastics Manufacturing,poly_plant,ethylene,15,,,,,,,,,,,5,plastics,20,,,,,,,,,,,,Polymers,
r_025,Basic Oxygen Steelmaking,furnace,iron_ingots,30,oxygen,30,limestone,30,,,,,,,9,steel,30,,,,,,,,,,,,Steel,
r_026,Copper pressing,factory,copper_ingots,25,,,,,,,,,,,4,copper_pipe,20,,,,,,,,,,,,Copper products,
r_027,Copper drawing,factory,copper_ingots,25,,,,,,,,,,,4,copper_wiring,20,,,,,,,,,,,,Copper products,
r_028,Synthetic Rubber Production,poly_plant,ethylene,15,oxygen,10,,,,,,,,,5,rubber,20,,,,,,,,,,,,Polymers,
r_029,Concrete Firing,furnace,limestone,30,pure_water,20,silica,15,coal,10,,,,,6,concrete,20,,,,,,,,,,,,Concrete,
r_030,Electric Concrete Production,eaf,limestone,15,pure_water,20,silica,10,,,,,,,10,concrete,24,,,,,,,,,,,,Concrete,
r_031,Direct Reduced Iron Smelting,furnace,iron_ore,30,hydrogen,30,,,,,,,,,10,iron_ingots,30,,,,,,,,,,,,Iron,
