id,nickname,type,deposits,solar_potential,wind_potential,build_capacity,buildings_present,tile_price,infrastructure_present,has_river,river_type,road_type,road_hsms,road_density,city_id,city_name,tile_role,road_seed
tile_1_1,A,deep_sea,oil(2000),0,1,200,,10,,false,,,,,,,,
tile_1_2,,deep_sea,,0,0,200,,0,,false,,,,,,,,
tile_1_3,,deep_sea,,,,200,,,,false,,,,,,,,
tile_1_4,,sea,,,,200,,,,false,,,,,,,,
tile_1_5,,deep_sea,,,,200,,,,false,,,,,,,,
tile_1_6,,deep_sea,,,,200,,,,false,,,,,,,,
tile_1_7,,deep_sea,,,,200,,,,false,,,,,,,,
tile_1_8,,deep_sea,,,,200,,,,false,,,,,,,,
tile_1_9,,deep_sea,,,,200,,,,false,,,,,,,,
tile_1_10,,sea,,,,200,,,,false,,,,,,,,
tile_1_11,,sea,,,,200,,,,false,,,,,,,,
tile_1_12,,sea,,,,200,,,,false,,,,,,,,
tile_1_13,,sea,,,,200,,,,false,,,,,,,,
tile_1_14,,sea,,,,200,,,,false,,,,,,,,
tile_1_15,,sea,,,,200,,,,false,,,,,,,,
tile_1_16,,sea,,,,200,,,,false,,,,,,,,
tile_1_17,,deep_sea,,,,200,,,,false,,,,,,,,
tile_1_18,,deep_sea,,,,200,,,,false,,,,,,,,
tile_1_19,,deep_sea,,,,200,,,,false,,,,,,,,
tile_1_20,,deep_sea,,,,200,,,,false,,,,,,,,
tile_2_1,,deep_sea,,0,0,200,,0,,false,,,,,,,,
tile_2_2,,sea,,,,200,,,,false,,,,,,,,
tile_2_3,,sea,,,,200,,,,false,,,,,,,,
tile_2_4,Klade Estuary,urban,,,,200,,,cables,false,,,,,,,,
tile_2_5,,sea,,,,200,,,,false,,,,,,,,
tile_2_6,,sea,,,,200,,,,false,,,,,,,,
tile_2_7,,deep_sea,,,,200,,,,false,,,,,,,,
tile_2_8,,sea,crude_oil,,,200,,,,false,,,,,,,,
tile_2_9,,deep_sea,,,,200,,,,false,,,,,,,,
tile_2_10,,deep_sea,,,,200,,,,false,,,,,,,,
tile_2_11,,sea,,,,200,,,,false,,,,,,,,
tile_2_12,Sandy Shore,urban,,,,200,,,cables,false,,,,,,,,
tile_2_13,Sandy Shore Coast,rural,,,,200,,,cables,false,,,,,,,,
tile_2_14,,sea,,,,200,,,,false,,,,,,,,
tile_2_15,Blackfarm,urban,,,,200,,,cables,false,,,,,,,,
tile_2_16,Blackfarm Docks,urban,,,,200,,,cables,false,,,,,,,,
tile_2_17,,sea,,,,200,,,,false,,,,,,,,
tile_2_18,,sea,,,,200,,,,false,,,,,,,,
tile_2_19,,sea,,,,200,,,,false,,,,,,,,
tile_2_20,,sea,,,,200,,,,false,,,,,,,,
tile_3_1,,sea,,,,200,,,,false,,,,,,,,
tile_3_2,The Reach,mountain,,,,200,,,,false,,,,,,,,
tile_3_3,Klade Estuary Docks,urban,water,,,200,,,cables,true,river_single_224,,,,,,,
tile_3_4,Klade Estuary Coast,rural,water,,,200,,,cables,true,river_single_136,,,,,,,
tile_3_5,Klade Estuary Beach,hill,limestone,,,200,,,cables,false,,,,,,,,
tile_3_6,,hill,,,,200,,,cables,false,,,,,,,,
tile_3_7,,sea,,,,200,,,,false,,,,,,,,
tile_3_8,Crying Shore,urban,,,,200,,,cables,false,,,,,,,,
tile_3_9,,sea,,,,200,,,,false,,,,,,,,
tile_3_10,,sea,,,,200,,,,false,,,,,,,,
tile_3_11,,sea,,,,200,,,,false,,,,,,,,
tile_3_12,Sandy Shore Docks,urban,,,,200,,,cables,false,,,,,,,,
tile_3_13,Sandy Shore Beach,rural,,,,200,,,cables,false,,,,,,,,
tile_3_14,,rural,sand|shale_oil,,,200,,,,false,,,,,,,,
