section,id,name,context,net,compare,verdict
base,r_229,CZ Monocrystal Growth,Chemical Plant,38.42,,OK
base,r_082,Electric Calcination Alumina,Chemical Plant,36.23,,OK
base,r_230,Monocrystal CPU Fabbing,Assembly Plant,34.29,,OK
base,r_047,Fertilisers Production,Chemical Plant,32.59,,OK
base,r_004,Coal Power Production,Power plant,30.75,,OK
base,r_030,Electric Concrete Production,Electric Arc Furnace,30.48,,OK
base,r_217,Biomass Carbonisation,Furnace,29.41,,OK
base,r_213,Aggressive Logging - Biomass,New Growth Forest,28.38,,OK
base,r_215,Gentle Pruning - Biomass,New Growth Forest,28.38,,OK
base,r_209,Strip Farming - Biomass,Farm,28.05,,OK
base,r_212,Livestock Farming - Biomass,Farm,28.05,,OK
base,r_056,Window Manufacturing,Industrial Goods Factory,27.68,,OK
base,r_165,Radial Axial Tire Production,Industrial Goods Factory,27.67,,OK
base,r_116,Generic Acid Production,Chemical Plant,27.49,,OK
base,r_181,Oil Power Production,Power plant,27.11,,OK
base,r_115,Sulphuric Acid Production,Chemical Plant,25.10,,OK
base,r_045,Polysilicon (Siemens) Smelting,Chemical Plant,23.68,,OK
base,r_106,Scrap Recycling,Electric Arc Furnace,19.05,,OK
base,r_051,Desalination,Desalination Plant,18.39,,OK
base,r_009,Motor Manufacture,Industrial Goods Factory,18.10,,OK
base,r_231,Anthracite Graphitisation,Electric Arc Furnace,18.08,,OK
base,r_058,Solar Panel Manufacturing,Assembly Plant,17.96,,OK
base,r_120,Basic Circuit Soldering,Industrial Goods Factory,17.89,,OK
base,r_122,Semiconductor Fabbing,Assembly Plant,17.72,,OK
base,r_079,Water Electrolysis,Electrolyser,17.63,,OK
base,r_003,Steelmaking,Furnace,17.63,,OK
base,r_008,Copper Wire Drawing,Industrial Goods Factory,17.58,,OK
base,r_040,Bayer Process,Furnace,17.53,,OK
base,r_023,Ethylene Refining,Petrochemical Refinery,17.49,,OK
base,r_014,Oil Drilling,Oil Wells,17.47,,OK
base,r_135,Fibreglass Production,Industrial Goods Factory,17.44,,OK
base,r_114,Hydrochloric Acid Production,Chemical Plant,17.43,,OK
base,r_029,Concrete Firing,Furnace,17.34,,OK
base,r_134,Alloy Metal Mining,Mine,17.29,,OK
base,r_007,Copper Blistering,Furnace,17.29,,OK
base,r_001,Coal Mining,Mine,17.26,,OK
base,r_175,PVC Polymerisation,Polymerisation Refinery,17.22,,OK
base,r_037,Onshore wind generation,Onshore Wind Farm,17.13,,OK
base,r_146,Solar Power Generation,Solar Farm,17.13,,OK
base,r_046,Haber Bosch Process,Chemical Plant,17.08,,OK
base,r_018,Sand Excavation,Mine,17.03,,OK
base,r_145,Offshore Wind Power Generation,Offshore Wind Farm,17.00,,OK
base,r_204,Heavy Vehicles Assembly,Industrial Goods Factory,16.98,,OK
base,r_180,Oil Refining,Petrochemical Refinery,16.97,,OK
base,r_002,Iron Mining,Mine,16.94,,OK
base,r_006,Copper Mining,Mine,16.89,,OK
base,r_024,Plastics Manufacturing,Polymerisation Refinery,16.81,,OK
base,r_044,Silicon Smelting,Electric Arc Furnace,16.76,,OK
base,r_012,Chlor-Alkali Process,Chemical Plant,16.74,,OK
base,r_019,Limestone Mining,Mine,16.72,,OK
base,r_179,Sulphur Mining,Mine,16.70,,OK
base,r_055,uPVC Window Manufacturing,Industrial Goods Factory,16.65,,OK
base,r_015,Bauxite Mining,Mine,16.64,,OK
base,r_028,Synthetic Rubber Production,Polymerisation Refinery,16.59,,OK
base,r_033,Construction Equiment Assembly (ICE),Industrial Goods Factory,16.58,,OK
base,r_017,Rare Earth Mining,Mine,16.52,,OK
base,r_059,Wind Turbine Manufacturing,Assembly Plant,16.49,,OK
base,r_016,Lithium Mining,Mine,16.46,,OK
base,r_005,Pig Iron Smelting,Furnace,16.46,,OK
base,r_132,Alloy Metal Smelting,Furnace,16.42,,OK
base,r_026,Copper Pipe Hot Rolling,Furnace,16.41,,OK
base,r_218,Petroleum Coking,Petrochemical Refinery,16.39,,OK
base,r_010,Salt Mining,Mine,16.33,,OK
base,r_071,ICE Engine Manufacturing,Industrial Goods Factory,16.17,,OK
base,r_011,Water Pumping,Water Pump,16.05,,OK
base,r_211,Agri Solar Farming - Biomass,Farm,16.00,,OK
base,r_068,Car Body Manufacturing,Industrial Goods Factory,15.99,,OK
base,r_067,Rubber Vulcanisation,Chemical Plant,15.89,,OK
base,r_022,Fuels Refining,Petrochemical Refinery,15.82,,OK
base,r_150,Petroleum Needle Coke Calcination,Petrochemical Refinery,15.73,,OK
base,r_101,Alkaline Battery Manufacturing,Industrial Goods Factory,15.70,,OK
base,r_053,Industrial Glassmaking,Furnace,15.67,,OK
base,r_117,ICE Car Production,Industrial Goods Factory,15.63,,OK
base,r_125,Computer Assembly,Assembly Plant,15.62,,OK
base,r_126,Electrical Components Production,Industrial Goods Factory,15.46,,OK
