recipe_id,recipe,building_id,tech_rank,primary_output,deployed_output_qty,deployed_labour_unskilled,deployed_labour_skilled,deployed_labour_h_skilled,target_policy,target_profit,target_min,target_max,gross_market_revenue,market_input_bill,grid_power_bill,maintenance_bill,labour_bill,production_margin_before_market_freight,one_turn_inbound_freight,one_turn_outbound_freight,one_turn_working_inventory_warehouse_reserve,cash_before_tax_after_one_turn_freight,cash_before_tax_after_one_turn_freight_and_warehouse,taxes,dividends,net_cash_after_tax_dividends,in_target_after_one_turn_friction_before_tax,freight_assumption
r_001,Coal Mining,mine,0,coal,60.0,1806,273,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,24.0,0,3.0,2.0,10.0,9.0,0.0,0.9,0.6,8.1,7.5,1.5,1.2,4.8,mine exception,rail_1_turn
r_002,Iron Mining,mine,0,iron_ore,40.0,1806,273,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,23.48,0,3.0,2.0,10.0,8.48,0.0,0.6,0.4,7.88,7.48,1.496,1.197,4.787,mine exception,rail_1_turn
r_003,Steelmaking,furnace,0,steel,48.0,1144,429,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,88.08,49.896,14.0,1.0,9.379,13.805,0.9,0.72,1.08,12.185,11.105,2.221,1.777,7.107,False,rail_1_turn
r_004,Power Production,coal_power,0,power,600.0,500,208,109,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,36.0,17.724,0.0,2.0,7.085,9.191,0.9,0.0,0.8,8.291,7.491,1.498,1.199,4.794,True,grid+pipe_1_turn+rail_1_turn
r_005,Pig Iron Smelting,furnace,0,iron_ingots,70.0,1144,429,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,69.16,33.054,14.0,1.0,9.379,11.727,0.9,1.05,1.3,9.777,8.477,1.695,1.356,5.425,True,rail_1_turn
r_006,Copper Mining,mine,0,copper_ore,36.0,1806,273,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,23.4,0,3.0,2.0,10.0,8.4,0.0,0.54,0.36,7.86,7.5,1.5,1.2,4.8,mine exception,rail_1_turn
r_007,Copper Blistering,furnace,0,copper_ingots,24.0,964,362,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,56.736,24.57,14.0,1.0,8.16,9.006,0.54,0.36,0.6,8.106,7.506,1.501,1.201,4.804,True,rail_1_turn
r_008,Copper Wire Drawing,industrial_factory,0,copper_wiring,32.0,4895,1836,186,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,122.56,59.573,8.0,7.0,39.242,8.746,0.36,0.32,0.56,8.066,7.506,1.501,1.201,4.804,True,rail_1_turn
r_009,Motor Manufacture,industrial_factory,0,motor,28.0,7114,2668,270,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,263.088,186.491,3.0,7.0,57.018,9.58,0.77,0.42,0.9,8.39,7.49,1.498,1.198,4.794,True,rail_1_turn
r_010,Salt Mining,mine,0,basic_salt,25.0,1806,273,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,22.5,0,3.0,2.0,10.0,7.5,0.0,0.525,0.35,6.975,6.625,1.325,1.06,4.24,mine exception,rail_1_turn
