recipe_id,display_name,building_id,research,tech_rank,primary_output,standalone_target,target_profit,target_min,target_max,standalone_revenue,standalone_inputs_bill,standalone_power_units,standalone_energy_bill,standalone_maintenance_bill,current_standalone_profit,mine_startup_revenue_live_penalty,mine_startup_profit_live_penalty,minimum_labour_unskilled,minimum_labour_skilled,minimum_labour_h_skilled,minimum_labour_cost,diagnostic_target_fitted_labour_unskilled,diagnostic_target_fitted_labour_skilled,diagnostic_target_fitted_labour_h_skilled,diagnostic_target_fitted_labour_cost,diagnostic_target_fitted_standalone_profit,minimum_labour_standalone_profit,fractional_one_layer_cost_proxy_profit,proxy_cheapest_direct_suppliers,imputed_market_input_cost_proxy_profit,imputed_full_cost_proxy_profit,cap_reduction_needed,route_assumption,one_turn_transport_cost,one_turn_storage_cost,diagnostic_target_fitted_profit_after_one_turn_friction,recommendation,flags
r_001,Coal Mining,mine,,0,coal,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,24.0,0,30.0,3.0,2.0,9.0,16.8,1.8,500,100,50,4.16,1853,307,81,11.469,7.531,14.84,7.531,,7.531,8.731,0,rail_1_turn,0.9,0.6,6.031,ok,input_band;full_band
r_002,Iron Mining,mine,,0,iron_ore,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,23.48,0,30.0,3.0,2.0,8.48,16.436,1.436,500,100,50,4.16,1758,292,79,10.957,7.523,14.32,7.523,,7.523,8.723,0,rail_1_turn,0.6,0.4,6.523,ok,input_band;full_band
r_003,Steelmaking,furnace,,0,steel,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,88.08,49.896,140.0,14.0,1.0,13.805,,,500,100,50,4.16,1792,562,142,15.674,7.51,19.024,19.909,iron_ingots: r_031 Direct Reduced Iron Smelting; coal: r_001 Coal Mining,27.3,37.613,0,rail_1_turn,1.62,1.08,4.81,ok,full_band
r_004,Power Production,coal_power,,0,power,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,36.0,17.724,0.0,0.0,2.0,9.191,,,500,100,50,4.16,846,273,107,8.752,7.524,12.116,15.879,coal: r_001 Coal Mining; pure_water: r_105 Water Treatment,16.073,16.621,0,pipe_1_turn+rail_1_turn+road_1_turn,12.9,0.8,-6.176,ok,input_band;full_band
r_005,Pig Iron Smelting,furnace,,0,iron_ingots,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,69.16,33.054,140.0,14.0,1.0,11.727,,,500,100,50,4.16,1559,478,125,13.578,7.528,16.946,19.136,iron_ore: r_002 Iron Mining; coal: r_001 Coal Mining,19.136,26.336,0,rail_1_turn,1.95,1.3,4.278,ok,input_band;full_band
r_006,Copper Mining,mine,,0,copper_ore,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,23.4,0,30.0,3.0,2.0,8.4,16.25,1.25,500,100,50,4.16,1743,290,79,10.89,7.51,14.24,7.51,,7.51,8.71,0,rail_1_turn,0.54,0.36,6.61,ok,input_band;full_band
r_007,Copper Blistering,furnace,,0,copper_ingots,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,56.736,24.57,140.0,14.0,1.0,9.006,,,500,100,50,4.16,1117,320,94,9.654,7.512,13.006,16.192,copper_ore: r_006 Copper Mining,16.192,22.992,0,rail_1_turn,0.9,0.6,6.012,ok,input_band;full_band
r_008,Copper Wire Drawing,industrial_factory,,0,copper_wiring,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,122.56,59.573,80.0,8.0,7.0,8.746,,,500,100,50,4.16,3386,1639,434,40.458,7.53,43.827,30.372,copper_ingots: r_020 Flash Copper Smelting,36.804,44.786,0,rail_1_turn,0.68,0.56,6.29,ok,full_band
r_009,Motor Manufacture,industrial_factory,,0,motor,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,263.088,186.491,30.0,3.0,7.0,9.58,,,500,100,50,4.16,4864,2428,631,59.066,7.532,62.438,76.963,steel: r_077 HIsarna Steel Making; copper_wiring: r_107 E-Waste Recycling,84.964,93.945,0,rail_1_turn,1.19,0.9,5.442,ok,
r_010,Salt Mining,mine,,0,basic_salt,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,22.5,0,30.0,3.0,2.0,7.5,19.0,4.0,500,100,50,4.16,1577,265,75,9.99,7.51,13.34,7.51,,7.51,8.71,0,rail_1_turn,0.525,0.35,6.635,ok,input_band;full_band
