power_scenario,power_cost_per_unit,recipe_id,recipe,primary_output,full_integration_profit,over_50,over_100,over_150,over_200,over_300,over_400
coal power,0.06,r_001,Coal Mining,coal,8.7,False,False,False,False,False,False
coal power,0.06,r_002,Iron Mining,iron_ore,8.68,False,False,False,False,False,False
coal power,0.06,r_003,Steelmaking,steel,47.54,False,False,False,False,False,False
coal power,0.06,r_004,Power Production,power,20.272,False,False,False,False,False,False
coal power,0.06,r_005,Pig Iron Smelting,iron_ingots,30.231,False,False,False,False,False,False
coal power,0.06,r_006,Copper Mining,copper_ore,8.7,False,False,False,False,False,False
coal power,0.06,r_007,Copper Blistering,copper_ingots,24.776,False,False,False,False,False,False
coal power,0.06,r_008,Copper Wire Drawing,copper_wiring,49.119,False,False,False,False,False,False
coal power,0.06,r_009,Motor Manufacture,motor,108.77,True,True,False,False,False,False
coal power,0.06,r_010,Salt Mining,basic_salt,7.825,False,False,False,False,False,False
coal power,0.06,r_011,Water Pumping,pure_water,9.054,False,False,False,False,False,False
coal power,0.06,r_012,Chlor-Alkali Process,chlorine,44.445,False,False,False,False,False,False
coal power,0.06,r_014,Oil Drilling,crude_oil,8.709,False,False,False,False,False,False
coal power,0.06,r_015,Bauxite Mining,bauxite_ore,8.7,False,False,False,False,False,False
coal power,0.06,r_016,Lithium Mining,lithium_ore,8.704,False,False,False,False,False,False
coal power,0.06,r_017,Rare Earth Mining,ree_ore,8.7,False,False,False,False,False,False
coal power,0.06,r_018,Sand Excavation,sand,8.7,False,False,False,False,False,False
coal power,0.06,r_019,Limestone Mining,limestone,8.7,False,False,False,False,False,False
coal power,0.06,r_020,Flash Copper Smelting,copper_ingots,51.564,True,False,False,False,False,False
coal power,0.06,r_022,Fuels Refining,fuels,29.652,False,False,False,False,False,False
coal power,0.06,r_023,Ethylene Refining,ethylene,27.154,False,False,False,False,False,False
coal power,0.06,r_024,Plastics Manufacturing,plastics,37.761,False,False,False,False,False,False
coal power,0.06,r_025,Basic Oxygen Steelmaking,steel,45.995,False,False,False,False,False,False
coal power,0.06,r_026,Copper Pipe Hot Rolling,copper_pipe,31.099,False,False,False,False,False,False
coal power,0.06,r_028,Synthetic Rubber Production,rubber,41.522,False,False,False,False,False,False
coal power,0.06,r_029,Concrete Firing,concrete,41.186,False,False,False,False,False,False
coal power,0.06,r_030,Electric Concrete Production,concrete,49.329,False,False,False,False,False,False
coal power,0.06,r_031,Direct Reduced Iron Smelting,iron_ingots,45.117,False,False,False,False,False,False
