root_recipe_id,root_recipe,integrated_input,supplier_recipe_id,supplier_recipe,internal_quantity,supplier_output_quantity,root_input_quantity,individual_two_building_profit,integrated_two_building_profit,integration_gain,integration_is_better
r_003,Steelmaking,iron_ingots,r_005,Pig Iron Smelting,40.0,70.0,40.0,19.582,23.558,3.976,True
r_003,Steelmaking,coal,r_001,Coal Mining,20.0,60.0,20.0,18.605,20.005,1.4,True
r_004,Power Production,coal,r_001,Coal Mining,20.0,60.0,20.0,14.991,16.391,1.4,True
r_004,Power Production,pure_water,r_011,Water Pumping,20.0,48.0,20.0,15.746,18.59,2.844,True
r_005,Pig Iron Smelting,iron_ore,r_002,Iron Mining,40.0,40.0,40.0,15.957,19.131,3.174,True
r_005,Pig Iron Smelting,coal,r_001,Coal Mining,20.0,60.0,20.0,15.977,17.377,1.4,True
r_007,Copper Blistering,copper_ore,r_006,Copper Mining,36.0,36.0,36.0,15.006,17.976,2.97,True
r_008,Copper Wire Drawing,copper_ingots,r_007,Copper Blistering,24.0,24.0,24.0,15.012,19.048,4.037,True
r_009,Motor Manufacture,steel,r_003,Steelmaking,30.0,48.0,30.0,18.595,22.847,4.253,True
r_009,Motor Manufacture,copper_wiring,r_008,Copper Wire Drawing,32.0,32.0,32.0,14.995,22.404,7.408,True
r_012,Chlor-Alkali Process,basic_salt,r_010,Salt Mining,25.0,25.0,44.0,11.655,13.53,1.875,True
r_012,Chlor-Alkali Process,pure_water,r_011,Water Pumping,44.0,48.0,44.0,13.284,19.541,6.257,True
r_020,Flash Copper Smelting,copper_ore,r_006,Copper Mining,30.0,36.0,30.0,39.169,41.644,2.475,True
r_020,Flash Copper Smelting,industrial_acids,r_114,Hydrochloric Acid Production,2.0,45.0,2.0,39.283,40.15,0.867,True
r_020,Flash Copper Smelting,oxygen,r_079,Water Electrolysis,2.0,7.0,2.0,37.591,38.136,0.545,True
r_022,Fuels Refining,processed_oil,r_180,Oil Refining,10.0,18.0,10.0,14.988,17.515,2.527,True
r_023,Ethylene Refining,processed_oil,r_180,Oil Refining,10.0,18.0,10.0,12.49,15.017,2.527,True
r_024,Plastics Manufacturing,ethylene,r_023,Ethylene Refining,10.0,13.0,10.0,10.003,14.524,4.521,True
r_025,Basic Oxygen Steelmaking,iron_ingots,r_005,Pig Iron Smelting,16.0,70.0,16.0,34.651,36.242,1.59,True
r_025,Basic Oxygen Steelmaking,oxygen,r_079,Water Electrolysis,3.0,7.0,3.0,32.097,32.914,0.817,True
r_025,Basic Oxygen Steelmaking,limestone,r_019,Limestone Mining,6.0,25.0,6.0,33.675,34.252,0.578,True
r_026,Copper Pipe Hot Rolling,copper_ingots,r_007,Copper Blistering,13.0,24.0,13.0,14.998,17.184,2.187,True
r_028,Synthetic Rubber Production,ethylene,r_023,Ethylene Refining,10.0,13.0,10.0,12.509,17.03,4.521,True
r_028,Synthetic Rubber Production,oxygen,r_079,Water Electrolysis,4.0,7.0,4.0,13.427,14.517,1.09,True
r_029,Concrete Firing,limestone,r_019,Limestone Mining,20.0,25.0,20.0,13.8,15.725,1.925,True
r_029,Concrete Firing,pure_water,r_011,Water Pumping,10.0,48.0,10.0,14.554,15.976,1.422,True
r_029,Concrete Firing,silica,r_035,Silica Washing,10.0,13.0,10.0,13.801,15.627,1.827,True
r_029,Concrete Firing,coal,r_001,Coal Mining,5.0,60.0,5.0,13.8,14.15,0.35,True
r_030,Electric Concrete Production,limestone,r_019,Limestone Mining,25.0,25.0,25.0,14.999,17.405,2.406,True
r_030,Electric Concrete Production,pure_water,r_011,Water Pumping,13.0,48.0,13.0,15.753,17.602,1.849,True
r_030,Electric Concrete Production,silica,r_035,Silica Washing,13.0,13.0,13.0,15.0,17.374,2.374,True
r_031,Direct Reduced Iron Smelting,iron_ore,r_002,Iron Mining,30.0,40.0,30.0,24.234,26.615,2.381,True
r_031,Direct Reduced Iron Smelting,hydrogen,r_079,Water Electrolysis,5.0,14.0,5.0,22.676,24.801,2.125,True
r_032,Lithium Ion Battery Manufacturing,lithium_carbonate,r_227,Rudimentary Lithium Refinement,9.0,9.0,9.0,-18.371,-14.927,3.444,True
r_032,Lithium Ion Battery Manufacturing,electrical_components,r_126,Electrical Components Production,3.0,12.0,3.0,-18.374,-16.531,1.843,True
r_032,Lithium Ion Battery Manufacturing,graphite,r_150,Petroleum Needle Coke Calcination,3.0,10.0,3.0,-18.371,-16.86,1.511,True
