recipe_id,recipe,building,primary_output,formula_price,output_ratio,suggested_outputs,current_output_qty,canonical_supply_floor,unrounded_output_qty,suggested_output_qty,output_rounding,output_multiplier,labour_unskilled,labour_skilled,labour_h_skilled,labour_bill,input_bill,energy_bill,maintenance_bill,one_turn_inbound_freight,one_turn_outbound_freight,one_turn_working_inventory_warehouse_reserve,target_profit,planned_pre_tax_cash_after_freight_and_warehouse,target_min,target_max,in_target_band
r_001,Coal Mining,mine,coal,0.4,coal:1,coal:60,60.0,60.0,60.0,60,multiple of 12,1.0,1806,273,50,10.0,0,3.0,2.0,0.0,0.9,0.6,7.5,7.5,5.0,10.0,True
r_002,Iron Mining,mine,iron_ore,0.587,iron_ore:1,iron_ore:40,40.0,40.0,40.0,40,multiple of 5,1.0,1806,273,50,10.0,0,3.0,2.0,0.0,0.6,0.4,7.5,7.5,5.0,10.0,True
r_003,Steelmaking,furnace,steel,1.748,steel:1,steel:48,48.0,48.0,48.0,48,multiple of 12,1.0,1144,429,50,9.379,49.323,14.0,1.0,0.9,0.72,1.08,7.5,7.5,5.0,10.0,True
r_004,Power Production,coal_power,power,0.06,power:1,power:595,600.0,,594.646,595,multiple of 5,0.992,500,208,109,7.085,17.394,0.0,2.0,0.9,0.0,0.8,7.5,7.521,5.0,10.0,True
r_005,Pig Iron Smelting,furnace,iron_ingots,0.974,iron_ingots:1,iron_ingots:70,70.0,70.0,70.0,70,multiple of 5,1.0,1144,429,50,9.379,33.075,14.0,1.0,0.9,1.05,1.3,7.5,7.5,5.0,10.0,True
r_006,Copper Mining,mine,copper_ore,0.65,copper_ore:1,copper_ore:36,36.0,36.0,36.0,36,multiple of 12,1.0,1806,273,50,10.0,0,3.0,2.0,0.0,0.54,0.36,7.5,7.5,5.0,10.0,True
r_007,Copper Blistering,furnace,copper_ingots,2.364,copper_ingots:1,copper_ingots:24,24.0,24.0,24.0,24,unit precision,1.0,964,362,50,8.16,24.57,14.0,1.0,0.54,0.36,0.6,7.5,7.5,5.0,10.0,True
r_008,Copper Wire Drawing,industrial_factory,copper_wiring,3.83,copper_wiring:1,copper_wiring:32,32.0,32.0,32.0,32,unit precision,1.0,4895,1836,186,39.242,59.567,8.0,7.0,0.36,0.32,0.56,7.5,7.5,5.0,10.0,True
r_009,Motor Manufacture,industrial_factory,motor,9.298,motor:1,motor:28,28.0,28.0,28.0,28,unit precision,1.0,7114,2668,270,57.018,183.736,3.0,7.0,0.77,0.42,0.9,7.5,7.5,5.0,10.0,True
r_010,Salt Mining,mine,basic_salt,0.228,basic_salt:5|chem_salts:2,basic_salt:60|chem_salts:24,25.0,44.0,60.0,60,integer ratio batch,2.4,1806,273,50,10.0,0,3.0,2.0,0.0,1.26,0.84,7.5,7.5,5.0,10.0,True
r_011,Water Pumping,water_pump,pure_water,0.428,pure_water:1,pure_water:48,48.0,48.0,48.0,48,multiple of 12,1.0,1197,182,50,7.178,0,2.0,1.0,0.0,1.44,1.44,7.5,7.5,5.0,10.0,True
r_012,Chlor-Alkali Process,chem_plant,chlorine,0.567,chlorine:1|sodium_hydroxide:2|hydrogen:1,chlorine:22|sodium_hydroxide:44|hydrogen:22,22.0,22.0,22.0,22,approved industrial batch,1.0,4472,1677,169,35.818,30.31,20.0,4.0,1.98,2.64,10.56,7.5,7.5,5.0,10.0,True
r_014,Oil Drilling,oil_well,crude_oil,1.066,crude_oil:1,crude_oil:20,20.0,20.0,20.0,20,unit precision,1.0,1498,231,50,8.611,0,3.0,1.0,0.0,0.6,0.6,7.5,7.5,5.0,10.0,True
r_015,Bauxite Mining,mine,bauxite_ore,1.15,bauxite_ore:1,bauxite_ore:20,20.0,20.0,20.0,20,unit precision,1.0,1806,273,50,10.0,0,3.0,2.0,0.0,0.3,0.2,7.5,7.5,5.0,10.0,True
r_016,Lithium Mining,mine,lithium_ore,2.838,lithium_ore:1,lithium_ore:8,8.0,8.0,8.0,8,unit precision,1.0,1806,273,50,10.0,0,3.0,2.0,0.0,0.12,0.08,7.5,7.5,5.0,10.0,True
r_017,Rare Earth Mining,mine,ree_ore,1.9,ree_ore:1,ree_ore:12,12.0,12.0,12.0,12,unit precision,1.0,1806,273,50,10.0,0,3.0,2.0,0.0,0.18,0.12,7.5,7.5,5.0,10.0,True
r_018,Sand Excavation,mine,sand,0.525,sand:1,sand:45,45.0,45.0,45.0,45,multiple of 5,1.0,1806,273,50,10.0,0,3.0,2.0,0.0,0.675,0.45,7.5,7.5,5.0,10.0,True
