recipe_id,display_name,building_id,building_display,buildable,category,required_research,catalysts,maintenance_cost,labour_unskilled,labour_skilled,labour_h_skilled,labour_source,energy_req,input_1,qty_1,input_1_price,input_2,qty_2,input_2_price,input_3,qty_3,input_3_price,input_4,qty_4,input_4_price,input_5,qty_5,input_5_price,input_6,qty_6,input_6_price,output_1,output_qty_1,output_1_price,output_2,output_qty_2,output_2_price,output_3,output_qty_3,output_3_price,output_4,output_qty_4,output_4_price,output_5,output_qty_5,output_5_price,revenue,input_bill,energy_cost,maintenance,labour_cost,net_standalone,rate_unskilled,rate_skilled,rate_h_skilled,grid_buy_price
r_001,Coal Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,coal,60,0.44,,,,,,,,,,,,,26.4000,0.0000,3.6000,4.0000,9.5000,9.3000,0.00304,0.00912,0.0304,0.12
r_002,Iron Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,iron_ore,40,0.6457,,,,,,,,,,,,,25.8280,0.0000,3.6000,4.0000,9.5000,8.7280,0.00304,0.00912,0.0304,0.12
r_003,Steelmaking,furnace,Furnace,TRUE,Steel Production,,,2,1144,429,50,recipe,140,iron_ingots,40,1.0868,coal,20,0.44,,,,,,,,,,,,,steel,48,2.0185,,,,,,,,,,,,,96.8880,52.2720,16.8000,2.0000,8.9102,16.9058,0.00304,0.00912,0.0304,0.12
r_004,Coal Power Production,power_plant,Power plant,TRUE,Power,,,4,500,208,109,recipe,0,coal,20,0.44,pure_water,20,0.4884,,,,,,,,,,,,,power,600,0.11,,,,,,,,,,,,,66.0000,18.5680,0.0000,4.0000,6.7306,36.7014,0.00304,0.00912,0.0304,0.12
r_005,Pig Iron Smelting,furnace,Furnace,TRUE,Iron Smelting,,,2,1144,429,50,recipe,140,iron_ore,40,0.6457,coal,20,0.44,,,,,,,,,,,,,iron_ingots,70,1.0868,,,,,,,,,,,,,76.0760,34.6280,16.8000,2.0000,8.9102,13.7378,0.00304,0.00912,0.0304,0.12
r_006,Copper Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,copper_ore,36,0.715,,,,,,,,,,,,,25.7400,0.0000,3.6000,4.0000,9.5000,8.6400,0.00304,0.00912,0.0304,0.12
r_007,Copper Blistering,furnace,Furnace,TRUE,Copper Smelting,,,2,964,362,50,recipe,140,copper_ore,36,0.715,,,,,,,,,,,,,,,,copper_ingots,24,2.6004,,,,,,,,,,,,,62.4096,25.7400,16.8000,2.0000,7.7520,10.1176,0.00304,0.00912,0.0304,0.12
r_008,Copper Wire Drawing,industrial_factory,Industrial Goods Factory,TRUE,Copper Products,,,14,4895,1836,186,recipe,80,copper_ingots,24,2.6004,,,,,,,,,,,,,,,,copper_wiring,32,4.213,,,,,,,,,,,,,134.8160,62.4096,9.6000,14.0000,37.2795,11.5269,0.00304,0.00912,0.0304,0.12
r_009,Motor Manufacture,industrial_factory,Industrial Goods Factory,TRUE,Industrial Equipment,,,14,7114,2668,270,recipe,30,steel,30,2.0185,copper_wiring,32,4.213,,,,,,,,,,,,,motor,28,10.3356,,,,,,,,,,,,,289.3968,195.3710,3.6000,14.0000,54.1667,22.2591,0.00304,0.00912,0.0304,0.12
r_010,Salt Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,basic_salt,25,0.55,chem_salts,10,1.1,,,,,,,,,,24.7500,0.0000,3.6000,4.0000,9.5000,7.6500,0.00304,0.00912,0.0304,0.12
r_011,Water Pumping,water_pump,Water Pump,TRUE,Water,,,2,1197,182,50,recipe,20,,,,,,,,,,,,,,,,,,,pure_water,48,0.4884,,,,,,,,,,,,,23.4432,0.0000,2.4000,2.0000,6.8187,12.2245,0.00304,0.00912,0.0304,0.12
r_012,Chlor-Alkali Process,chem_plant,Chemical Plant,TRUE,Electrochemistry,,,8,4472,1677,169,recipe,200,basic_salt,44,0.55,pure_water,44,0.4884,,,,,,,,,,,,,chlorine,22,0.792,sodium_hydroxide,44,0.88,hydrogen,22,3.63,,,,,,,136.0040,45.6896,24.0000,8.0000,34.0267,24.2877,0.00304,0.00912,0.0304,0.12
r_014,Oil Drilling,oil_well,Oil Wells,TRUE,Oil Extraction,,,2,1498,231,50,recipe,30,,,,,,,,,,,,,,,,,,,crude_oil,20,1.1726,,,,,,,,,,,,,23.4520,0.0000,3.6000,2.0000,8.1806,9.6714,0.00304,0.00912,0.0304,0.12
r_015,Bauxite Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,bauxite_ore,20,1.265,,,,,,,,,,,,,25.3000,0.0000,3.6000,4.0000,9.5000,8.2000,0.00304,0.00912,0.0304,0.12
r_016,Lithium Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,lithium_ore,8,3.1218,,,,,,,,,,,,,24.9744,0.0000,3.6000,4.0000,9.5000,7.8744,0.00304,0.00912,0.0304,0.12
r_017,Rare Earth Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,ree_ore,12,2.09,,,,,,,,,,,,,25.0800,0.0000,3.6000,4.0000,9.5000,7.9800,0.00304,0.00912,0.0304,0.12
r_018,Sand Excavation,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,sand,45,0.5775,,,,,,,,,,,,,25.9875,0.0000,3.6000,4.0000,9.5000,8.8875,0.00304,0.00912,0.0304,0.12
r_019,Limestone Mining,mine,Mine,TRUE,Mineral Mining,,,4,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,limestone,25,1.0175,,,,,,,,,,,,,25.4375,0.0000,3.6000,4.0000,9.5000,8.3375,0.00304,0.00912,0.0304,0.12
r_020,Flash Copper Smelting,furnace,Furnace,TRUE,Copper Smelting,Electric Arc Refining,,2,937,352,50,recipe,140,copper_ore,30,0.715,industrial_acids,2,3.817,oxygen,2,0.275,,,,,,,,,,copper_ingots,36,2.6004,,,,,,,,,,,,,93.6144,29.6340,16.8000,2.0000,7.5787,37.6017,0.00304,0.00912,0.0304,0.12
r_021,Heavy Fuels Refining,petro_refinery,Petrochemical Refinery,FALSE,Refining,,,2,756,287,50,recipe,70,heavy_oil,4,0,,,,,,,,,,,,,,,,fuels,3,2.6037,,,,,,,,,,,,,7.8111,0.0000,8.4000,,6.4357,,0.00304,0.00912,0.0304,0.12
r_022,Fuels Refining,petro_refinery,Petrochemical Refinery,TRUE,Refining,,,2,756,287,50,recipe,70,processed_oil,10,2.9205,,,,,,,,,,,,,,,,fuels,22,2.6037,,,,,,,,,,,,,57.2814,29.2050,8.4000,2.0000,6.4357,11.2407,0.00304,0.00912,0.0304,0.12
r_023,Ethylene Refining,petro_refinery,Petrochemical Refinery,TRUE,Refining,,,2,756,287,50,recipe,70,processed_oil,10,2.9205,,,,,,,,,,,,,,,,ethylene,13,4.2262,,,,,,,,,,,,,54.9406,29.2050,8.4000,2.0000,6.4357,8.8999,0.00304,0.00912,0.0304,0.12
