recipe_id,display_name,building_id,building_display,buildable,category,required_research,catalysts,maintenance_cost,labour_unskilled,labour_skilled,labour_h_skilled,labour_source,energy_req,input_1,qty_1,input_1_price,input_2,qty_2,input_2_price,input_3,qty_3,input_3_price,input_4,qty_4,input_4_price,input_5,qty_5,input_5_price,input_6,qty_6,input_6_price,output_1,output_qty_1,output_1_price,output_2,output_qty_2,output_2_price,output_3,output_qty_3,output_3_price,output_4,output_qty_4,output_4_price,output_5,output_qty_5,output_5_price,revenue,input_bill,energy_cost,maintenance,labour_cost,net_standalone,rate_unskilled,rate_skilled,rate_h_skilled,grid_buy_price
r_001,Coal Mining,mine,Mine,TRUE,Mineral Mining,,,2,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,coal,60,0.44,,,,,,,,,,,,,26.4000,0.0000,3.6000,2.0000,9.5000,11.3000,0.00304,0.00912,0.0304,0.12
r_002,Iron Mining,mine,Mine,TRUE,Mineral Mining,,,2,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,iron_ore,40,0.6457,,,,,,,,,,,,,25.8280,0.0000,3.6000,2.0000,9.5000,10.7280,0.00304,0.00912,0.0304,0.12
r_003,Steelmaking,furnace,Furnace,TRUE,Steel Production,,,1,1144,429,50,recipe,140,iron_ingots,40,1.0868,coal,20,0.44,,,,,,,,,,,,,steel,48,2.0185,,,,,,,,,,,,,96.8880,52.2720,16.8000,1.0000,8.9102,17.9058,0.00304,0.00912,0.0304,0.12
r_004,Coal Power Production,power_plant,Power plant,TRUE,Power,,,2,500,208,109,recipe,0,coal,20,0.44,pure_water,20,0.4884,,,,,,,,,,,,,power,600,0.11,,,,,,,,,,,,,66.0000,18.5680,0.0000,2.0000,6.7306,38.7014,0.00304,0.00912,0.0304,0.12
r_005,Pig Iron Smelting,furnace,Furnace,TRUE,Iron Smelting,,,1,1144,429,50,recipe,140,iron_ore,40,0.6457,coal,20,0.44,,,,,,,,,,,,,iron_ingots,70,1.0868,,,,,,,,,,,,,76.0760,34.6280,16.8000,1.0000,8.9102,14.7378,0.00304,0.00912,0.0304,0.12
r_006,Copper Mining,mine,Mine,TRUE,Mineral Mining,,,2,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,copper_ore,36,0.715,,,,,,,,,,,,,25.7400,0.0000,3.6000,2.0000,9.5000,10.6400,0.00304,0.00912,0.0304,0.12
r_007,Copper Blistering,furnace,Furnace,TRUE,Copper Smelting,,,1,964,362,50,recipe,140,copper_ore,36,0.715,,,,,,,,,,,,,,,,copper_ingots,24,2.6004,,,,,,,,,,,,,62.4096,25.7400,16.8000,1.0000,7.7520,11.1176,0.00304,0.00912,0.0304,0.12
r_008,Copper Wire Drawing,industrial_factory,Industrial Goods Factory,TRUE,Copper Products,,,7,4895,1836,186,recipe,80,copper_ingots,24,2.6004,,,,,,,,,,,,,,,,copper_wiring,32,4.213,,,,,,,,,,,,,134.8160,62.4096,9.6000,7.0000,37.2795,18.5269,0.00304,0.00912,0.0304,0.12
r_009,Motor Manufacture,industrial_factory,Industrial Goods Factory,TRUE,Industrial Equipment,,,7,7114,2668,270,recipe,30,steel,30,2.0185,copper_wiring,32,4.213,,,,,,,,,,,,,motor,28,10.3356,,,,,,,,,,,,,289.3968,195.3710,3.6000,7.0000,54.1667,29.2591,0.00304,0.00912,0.0304,0.12
r_010,Salt Mining,mine,Mine,TRUE,Mineral Mining,,,2,1806,273,50,recipe,30,,,,,,,,,,,,,,,,,,,basic_salt,25,0.55,chem_salts,10,1.1,,,,,,,,,,24.7500,0.0000,3.6000,2.0000,9.5000,9.6500,0.00304,0.00912,0.0304,0.12
