key,file,line,step_id,chapter,field,active,format_args,text
coach.eyebrow_format,price-of-everything-0.1/scripts/tutorial/coach_overlay.gd,350,,,format,TRUE,"[str(step.get(""chapter"", """")), index + 1, total]",%s  ·  Step %d/%d
coach.choice_fallback,price-of-everything-0.1/scripts/tutorial/coach_overlay.gd,361,,,button,TRUE,,Choose
coach.skip_button,price-of-everything-0.1/scripts/tutorial/coach_overlay.gd,524,,,button,TRUE,,Skip tutorial
coach.next_button,price-of-everything-0.1/scripts/tutorial/coach_overlay.gd,537,,,button,TRUE,,Next
coach.welcome_skip_button,price-of-everything-0.1/scripts/tutorial/coach_overlay.gd,580,,,button,TRUE,,Skip tutorial
coach.welcome_cta_default,price-of-everything-0.1/scripts/tutorial/coach_overlay.gd,593,,,button,TRUE,,Begin
intro.back_button,price-of-everything-0.1/scripts/tutorial_intro_panel.gd,50,,,button,TRUE,,Back
intro.banner,price-of-everything-0.1/scripts/tutorial_intro_panel.gd,70,,,title,TRUE,,TUTORIAL
intro.blurb,price-of-everything-0.1/scripts/tutorial_intro_panel.gd,77,,,body,TRUE,,"A guided first game on a small stretch of coast. Learn how the economy fits together, one building at a time — then drop into a real game."
intro.begin_button,price-of-everything-0.1/scripts/tutorial_intro_panel.gd,101,,,button,TRUE,,Begin Tutorial
prompt.title,price-of-everything-0.1/scripts/tutorial_prompt_dialog.gd,71,,,title,TRUE,,Are you sure you want to proceed without the Tutorial?
prompt.blurb,price-of-everything-0.1/scripts/tutorial_prompt_dialog.gd,79,,,body,TRUE,,"The tutorial takes about ten minutes and teaches the basics — buying a building, powering it, and integrating your first supply chain. It's the fastest way to get your bearings."
prompt.accept_button,price-of-everything-0.1/scripts/tutorial_prompt_dialog.gd,92,,,button,TRUE,,Go to Tutorial
prompt.decline_button,price-of-everything-0.1/scripts/tutorial_prompt_dialog.gd,104,,,button,TRUE,,New Game without Tutorial
menu.tutorial_button,price-of-everything-0.1/scripts/main_menu.gd,320,,,button,TRUE,,Tutorial
intro.covers[0],price-of-everything-0.1/scripts/tutorial_intro_panel.gd,18,,,bullet,TRUE,,Buy your first factory and read its cost per unit
